id,brand_name,Category,target_age,target_gender,target_location
680,Brand117,Travel Services,All,Male,Karnataka
681,Brand140,Travel Services,18-28,Male,Maharashtra
682,Brand114,Gadgets,18-30,All,Karnataka
683,Brand121,Gaming Products,30-45,Female,Maharashtra
684,Brand137,Pet Supplies,18-28,Female,Karnataka
685,Brand147,Eco-friendly Goods,30-45,Female,Maharashtra
686,Brand117,Cosmetics,All,All,Kerala
687,Brand119,Gadgets,18-30,All,Karnataka
688,Brand126,Nutrition Products,18-30,Male,Delhi
689,Brand116,Books,22-40,Female,Tamil Nadu
690,Brand129,Nutrition Products,40-50,All,Rajasthan
691,Brand110,Clothing,22-40,Male,Karnataka
692,Brand126,Travel Services,25-40,All,Rajasthan
693,Brand106,Nutrition Products,15-24,Male,Delhi
694,Brand108,Cosmetics,25-40,Female,Tamil Nadu
695,Brand143,Nutrition Products,15-24,Female,Karnataka
696,Brand114,Fashion Accessories,25-40,Female,Madhya Pradesh
697,Brand103,Travel Services,18-30,Female,Punjab
698,Brand110,Gaming Products,18-30,Male,Karnataka
699,Brand142,Travel Services,40-50,Female,Maharashtra
700,Brand116,Eco-friendly Goods,30-45,Female,Karnataka
701,Brand148,Smartphones,40-50,Female,Gujarat
702,Brand143,Smartphones,30-45,All,Kerala
703,Brand140,Gaming Products,18-30,Male,Uttar Pradesh
704,Brand101,Travel Services,15-24,Male,Goa
705,Brand112,Home Appliances,18-25,Male,Punjab
706,Brand138,Home Appliances,22-40,All,Punjab
707,Brand150,Smartphones,All,Female,Madhya Pradesh
708,Brand121,Fashion Accessories,40-50,Male,Madhya Pradesh
709,Brand105,Cosmetics,All,Female,Maharashtra
710,Brand107,Cosmetics,40-50,Female,Tamil Nadu
711,Brand148,Smartphones,18-30,All,Rajasthan
712,Brand136,Travel Services,18-30,Male,Tamil Nadu
713,Brand137,Art Supplies,40-50,Male,Madhya Pradesh
714,Brand112,Smartphones,25-40,All,Delhi
715,Brand146,Pet Supplies,15-24,Female,Goa
716,Brand113,Travel Services,30-45,All,Kerala
717,Brand128,Travel Services,18-30,Male,Punjab
718,Brand144,Nutrition Products,15-24,All,Kerala
719,Brand130,Nutrition Products,15-24,Male,Kerala
720,Brand143,Smartphones,18-30,Male,Goa
721,Brand148,Fashion Accessories,All,Male,Delhi
722,Brand112,Gadgets,18-30,All,Delhi
723,Brand132,Gaming Products,22-40,Male,Madhya Pradesh
724,Brand140,Travel Services,22-40,Female,Maharashtra
725,Brand129,Smartphones,25-40,Male,Madhya Pradesh
726,Brand105,Travel Services,All,Male,Karnataka
727,Brand123,Fashion Accessories,18-28,Female,Delhi
728,Brand142,Travel Services,18-28,All,Goa
729,Brand115,Gadgets,40-50,Male,Punjab
730,Brand115,Gaming Products,30-45,Male,Madhya Pradesh
731,Brand101,Nutrition Products,18-28,All,Karnataka
732,Brand106,Gadgets,All,Female,Karnataka
733,Brand108,Food Products,18-25,Female,Delhi
734,Brand102,Smartphones,30-45,Male,Kerala
735,Brand148,Fashion Accessories,All,Female,Delhi
736,Brand130,Art Supplies,All,Female,Tamil Nadu
737,Brand128,Smartphones,30-45,Male,Delhi
738,Brand148,Nutrition Products,All,Female,Kerala
739,Brand134,Pet Supplies,18-30,Female,Kerala
740,Brand150,Food Products,30-45,All,Madhya Pradesh
741,Brand147,Gadgets,18-30,Male,Kerala
742,Brand128,Nutrition Products,15-24,All,Kerala
743,Brand133,Eco-friendly Goods,All,Male,Kerala
744,Brand131,Nutrition Products,18-25,Female,Kerala
745,Brand130,Gadgets,18-28,All,Karnataka
746,Brand131,Gadgets,25-40,Female,Goa
747,Brand147,Gaming Products,All,Male,Karnataka
748,Brand114,Art Supplies,40-50,All,Karnataka
749,Brand133,Art Supplies,15-24,All,Kerala
750,Brand120,Cosmetics,18-25,All,Tamil Nadu
751,Brand130,Gaming Products,All,Female,Goa
752,Brand106,Gadgets,18-30,All,Kerala
753,Brand144,Nutrition Products,15-24,All,Maharashtra
754,Brand143,Nutrition Products,18-30,Male,Delhi
755,Brand137,Cosmetics,18-28,Female,Madhya Pradesh
756,Brand150,Eco-friendly Goods,All,Male,Karnataka
757,Brand125,Travel Services,25-40,Female,Haryana
758,Brand113,Books,15-24,Female,Uttar Pradesh
759,Brand132,Fashion Accessories,18-30,Female,Rajasthan
760,Brand105,Gaming Products,18-30,Male,Karnataka
761,Brand132,Gadgets,18-25,Male,Gujarat
762,Brand105,Smartphones,All,Female,Uttar Pradesh
763,Brand121,Art Supplies,30-45,Female,Delhi
764,Brand128,Home Appliances,15-24,Female,Bihar
765,Brand130,Art Supplies,15-24,All,Karnataka
766,Brand105,Nutrition Products,30-45,All,Maharashtra
767,Brand119,Art Supplies,18-30,Female,Rajasthan
768,Brand128,Smartphones,15-24,Female,Tamil Nadu
769,Brand118,Gaming Products,All,Male,Maharashtra
770,Brand139,Art Supplies,18-30,Male,Karnataka
771,Brand108,Smartphones,18-30,Female,Tamil Nadu
772,Brand129,Smartphones,40-50,Male,Punjab
773,Brand134,Eco-friendly Goods,18-30,Male,Goa
774,Brand138,Travel Services,All,Female,Uttar Pradesh
775,Brand108,Smartphones,18-28,All,Maharashtra
776,Brand146,Travel Services,18-30,Female,Madhya Pradesh
777,Brand103,Art Supplies,15-24,Female,Karnataka
778,Brand127,Art Supplies,18-28,Male,Kerala
779,Brand147,Gadgets,15-24,All,Karnataka
780,Brand129,Gadgets,18-25,Male,Bihar
781,Brand147,Fashion Accessories,40-50,All,Gujarat
782,Brand104,Clothing,22-40,Female,Karnataka
783,Brand149,Travel Services,15-24,All,Delhi
784,Brand126,Nutrition Products,22-40,All,Maharashtra
785,Brand128,Pet Supplies,22-40,All,Delhi
786,Brand125,Smartphones,All,All,Karnataka
787,Brand128,Cosmetics,22-40,Male,Kerala
788,Brand118,Cosmetics,15-24,Male,Goa
789,Brand137,Art Supplies,18-30,All,Delhi
790,Brand130,Fashion Accessories,18-28,Female,Punjab
791,Brand135,Pet Supplies,22-40,All,Maharashtra
792,Brand118,Fashion Accessories,15-24,Female,Goa
793,Brand129,Smartphones,18-28,All,Gujarat
794,Brand101,Books,18-30,Male,Karnataka
795,Brand145,Cosmetics,15-24,Female,Maharashtra
796,Brand113,Travel Services,22-40,Female,Karnataka
797,Brand123,Cosmetics,18-30,All,Delhi
798,Brand125,Fashion Accessories,All,All,Maharashtra
799,Brand124,Gadgets,18-30,All,Madhya Pradesh
800,Brand121,Gadgets,15-24,All,Maharashtra
801,Brand127,Smartphones,15-24,Female,Delhi
802,Brand107,Cosmetics,18-28,All,Punjab
803,Brand108,Nutrition Products,18-30,Male,Rajasthan
804,Brand131,Smartphones,15-24,All,Madhya Pradesh
805,Brand150,Food Products,15-24,All,Delhi
806,Brand146,Home Appliances,40-50,All,Rajasthan
807,Brand122,Travel Services,18-25,Female,Goa
808,Brand123,Food Products,18-30,Female,Madhya Pradesh
809,Brand129,Art Supplies,18-30,Female,Delhi
810,Brand143,Travel Services,15-24,Male,Punjab
811,Brand116,Nutrition Products,30-45,All,Rajasthan
812,Brand109,Gadgets,18-25,All,Karnataka
813,Brand101,Food Products,25-40,All,Gujarat
814,Brand121,Smartphones,18-28,All,Gujarat
815,Brand121,Nutrition Products,18-30,Male,Delhi
816,Brand132,Travel Services,All,Male,Kerala
817,Brand137,Eco-friendly Goods,18-28,All,Karnataka
818,Brand146,Fashion Accessories,15-24,Female,Delhi
819,Brand107,Gadgets,18-25,Female,Rajasthan
820,Brand115,Gaming Products,22-40,Male,Punjab
821,Brand143,Travel Services,All,Female,Madhya Pradesh
822,Brand141,Eco-friendly Goods,18-25,Female,Kerala
823,Brand114,Nutrition Products,25-40,Female,Kerala
824,Brand136,Gaming Products,40-50,Male,Gujarat
825,Brand133,Gadgets,22-40,Male,Madhya Pradesh
826,Brand141,Home Appliances,15-24,Female,Goa
827,Brand144,Gadgets,18-30,Female,Delhi
828,Brand118,Nutrition Products,18-28,Male,Delhi
829,Brand120,Travel Services,15-24,Male,Kerala
830,Brand125,Food Products,All,Female,Madhya Pradesh
831,Brand142,Fashion Accessories,30-45,Male,Delhi
832,Brand103,Eco-friendly Goods,18-30,Female,Maharashtra
833,Brand122,Food Products,40-50,Male,Maharashtra
834,Brand144,Smartphones,18-28,Female,Kerala
835,Brand122,Gadgets,30-45,Female,Delhi
836,Brand116,Art Supplies,25-40,Female,Goa
837,Brand132,Art Supplies,22-40,All,Madhya Pradesh
838,Brand126,Travel Services,18-30,Male,Goa
839,Brand126,Art Supplies,22-40,Female,Uttar Pradesh
840,Brand124,Cosmetics,40-50,All,Punjab
841,Brand107,Fashion Accessories,18-30,All,Rajasthan
842,Brand129,Travel Services,All,Male,Madhya Pradesh
843,Brand120,Smartphones,All,All,Karnataka
844,Brand110,Smartphones,15-24,All,Rajasthan
845,Brand139,Art Supplies,All,All,Delhi
846,Brand115,Nutrition Products,All,Female,Kerala
847,Brand111,Smartphones,40-50,Female,Madhya Pradesh
848,Brand122,Smartphones,15-24,All,Goa
849,Brand113,Gaming Products,40-50,All,Karnataka
850,Brand129,Art Supplies,15-24,Male,Delhi
851,Brand113,Cosmetics,30-45,Female,Delhi
852,Brand136,Fashion Accessories,25-40,Male,Kerala
853,Brand113,Gadgets,22-40,Male,Uttar Pradesh
854,Brand123,Food Products,15-24,Male,Madhya Pradesh
855,Brand115,Cosmetics,All,Male,Madhya Pradesh
856,Brand119,Art Supplies,18-25,All,Madhya Pradesh
857,Brand120,Art Supplies,15-24,Female,Punjab
858,Brand103,Cosmetics,18-30,Female,Karnataka
859,Brand123,Cosmetics,18-25,All,Tamil Nadu
860,Brand145,Smartphones,15-24,All,Maharashtra
861,Brand104,Art Supplies,22-40,Male,Madhya Pradesh
862,Brand146,Nutrition Products,22-40,All,Goa
863,Brand143,Pet Supplies,18-28,All,Karnataka
864,Brand139,Fashion Accessories,18-30,Male,Karnataka
865,Brand144,Home Appliances,15-24,All,Uttar Pradesh
866,Brand106,Food Products,22-40,Male,Rajasthan
867,Brand115,Cosmetics,18-30,Male,Kerala
868,Brand142,Art Supplies,15-24,Female,Madhya Pradesh
869,Brand134,Gaming Products,22-40,Female,Karnataka
870,Brand107,Books,15-24,Male,Madhya Pradesh
871,Brand117,Gadgets,18-30,Male,Kerala
872,Brand115,Travel Services,22-40,Female,Gujarat
873,Brand113,Smartphones,25-40,All,Kerala
874,Brand125,Art Supplies,15-24,All,Kerala
875,Brand146,Gaming Products,All,All,Delhi
876,Brand101,Home Appliances,18-30,Male,Madhya Pradesh
877,Brand113,Travel Services,40-50,Male,Punjab
878,Brand119,Gaming Products,18-30,All,Uttar Pradesh
879,Brand146,Nutrition Products,18-30,Female,Madhya Pradesh
880,Brand126,Gadgets,15-24,All,Kerala
881,Brand130,Gadgets,15-24,Female,Rajasthan
882,Brand127,Fashion Accessories,30-45,Female,Karnataka
883,Brand130,Gadgets,15-24,All,Uttar Pradesh
884,Brand144,Smartphones,All,Female,Tamil Nadu
885,Brand145,Eco-friendly Goods,25-40,Female,Madhya Pradesh
886,Brand147,Art Supplies,18-28,Male,Delhi
887,Brand150,Gadgets,18-30,All,Rajasthan
888,Brand145,Travel Services,18-28,All,Maharashtra
889,Brand101,Fashion Accessories,18-30,Male,Karnataka
890,Brand105,Gadgets,30-45,All,Goa
891,Brand110,Food Products,All,Male,Madhya Pradesh
892,Brand104,Nutrition Products,18-30,Male,Kerala
893,Brand112,Smartphones,18-25,Male,Tamil Nadu
894,Brand123,Gaming Products,40-50,Male,Delhi
895,Brand143,Eco-friendly Goods,All,Female,Tamil Nadu
896,Brand102,Travel Services,All,All,Maharashtra
897,Brand129,Fashion Accessories,25-40,All,Karnataka
898,Brand121,Travel Services,15-24,Female,Uttar Pradesh
899,Brand110,Nutrition Products,18-28,All,West Bengal
900,Brand109,Food Products,25-40,All,Madhya Pradesh
901,Brand134,Nutrition Products,18-30,Male,Tamil Nadu
902,Brand111,Pet Supplies,40-50,Male,Uttar Pradesh
903,Brand124,Fashion Accessories,40-50,All,Kerala
904,Brand115,Gadgets,25-40,Female,Madhya Pradesh
905,Brand106,Art Supplies,18-30,Female,Rajasthan
906,Brand116,Cosmetics,15-24,Female,West Bengal
907,Brand141,Gadgets,15-24,Female,Gujarat
908,Brand101,Cosmetics,All,All,Goa
909,Brand111,Eco-friendly Goods,18-28,All,Kerala
910,Brand149,Travel Services,30-45,Female,Punjab
911,Brand141,Nutrition Products,30-45,Male,Karnataka
912,Brand121,Smartphones,22-40,Male,Madhya Pradesh
913,Brand138,Travel Services,All,Female,Madhya Pradesh
914,Brand116,Nutrition Products,15-24,Male,Punjab
915,Brand106,Travel Services,All,Female,Uttar Pradesh
916,Brand144,Travel Services,18-30,All,Karnataka
917,Brand148,Pet Supplies,15-24,Female,Rajasthan
918,Brand116,Fashion Accessories,All,All,Gujarat
919,Brand131,Smartphones,18-30,Male,Kerala
920,Brand114,Gaming Products,15-24,All,Kerala
921,Brand145,Nutrition Products,18-25,Male,Gujarat
922,Brand102,Travel Services,40-50,Female,Kerala
923,Brand105,Home Appliances,18-25,Male,Punjab
924,Brand136,Smartphones,18-30,All,Delhi
925,Brand119,Smartphones,All,Male,Karnataka
926,Brand137,Cosmetics,40-50,Male,Karnataka
927,Brand150,Nutrition Products,18-28,Male,Punjab
928,Brand111,Nutrition Products,18-30,Female,Bihar
929,Brand132,Cosmetics,18-30,Male,Maharashtra
930,Brand109,Cosmetics,18-30,Female,Karnataka
931,Brand114,Gadgets,40-50,Male,Tamil Nadu
932,Brand134,Travel Services,18-30,All,Kerala
933,Brand130,Gaming Products,18-30,Male,Madhya Pradesh
934,Brand112,Nutrition Products,18-25,Female,Punjab
935,Brand132,Pet Supplies,22-40,Female,Kerala
936,Brand101,Pet Supplies,18-30,Male,Kerala
937,Brand113,Eco-friendly Goods,18-25,Male,Rajasthan
938,Brand120,Pet Supplies,15-24,Female,Delhi
939,Brand118,Cosmetics,40-50,All,Gujarat
940,Brand109,Travel Services,All,Female,Karnataka
941,Brand134,Nutrition Products,All,All,Gujarat
942,Brand112,Food Products,18-28,Male,Madhya Pradesh
943,Brand149,Fashion Accessories,40-50,All,West Bengal
944,Brand138,Smartphones,18-25,Male,Karnataka
945,Brand134,Home Appliances,18-30,All,Madhya Pradesh
946,Brand137,Gaming Products,18-30,Female,Tamil Nadu
947,Brand124,Gaming Products,22-40,All,Kerala
948,Brand121,Travel Services,18-30,Male,Kerala
949,Brand117,Smartphones,18-25,Female,Karnataka
950,Brand135,Smartphones,All,Male,Uttar Pradesh
951,Brand142,Nutrition Products,25-40,Female,Maharashtra
952,Brand108,Cosmetics,40-50,All,Karnataka
953,Brand122,Food Products,30-45,All,Kerala
954,Brand130,Gaming Products,18-30,Male,Punjab
955,Brand103,Travel Services,15-24,Male,Kerala
956,Brand120,Cosmetics,15-24,Female,Madhya Pradesh
957,Brand150,Art Supplies,40-50,Male,Uttar Pradesh
958,Brand102,Cosmetics,All,Male,Rajasthan
959,Brand124,Gadgets,15-24,Female,Delhi
960,Brand133,Nutrition Products,18-30,Female,Uttar Pradesh
961,Brand117,Travel Services,22-40,Male,Maharashtra
962,Brand150,Nutrition Products,All,Male,Delhi
963,Brand138,Cosmetics,All,Male,Delhi
964,Brand141,Art Supplies,30-45,All,Goa
965,Brand129,Travel Services,18-30,Female,Karnataka
966,Brand108,Home Appliances,18-30,Male,Maharashtra
967,Brand112,Travel Services,18-30,All,Delhi
968,Brand139,Gadgets,22-40,Female,Maharashtra
969,Brand114,Gadgets,All,All,Uttar Pradesh
970,Brand104,Travel Services,22-40,Female,Karnataka
971,Brand116,Smartphones,15-24,Male,Delhi
972,Brand150,Art Supplies,15-24,All,Delhi
973,Brand143,Gaming Products,18-25,Female,Punjab
974,Brand125,Smartphones,18-25,All,Karnataka
975,Brand146,Travel Services,22-40,Male,Tamil Nadu
976,Brand127,Nutrition Products,30-45,Female,Uttar Pradesh
977,Brand116,Fashion Accessories,15-24,All,Kerala
978,Brand148,Nutrition Products,15-24,Male,Madhya Pradesh
979,Brand130,Travel Services,15-24,Male,Tamil Nadu
980,Brand150,Smartphones,18-25,All,Delhi
981,Brand145,Home Appliances,18-30,Female,Delhi
982,Brand124,Gadgets,40-50,All,Goa
983,Brand113,Cosmetics,All,Female,Maharashtra
984,Brand146,Nutrition Products,18-30,All,Kerala
985,Brand104,Nutrition Products,18-30,All,Haryana
986,Brand120,Eco-friendly Goods,18-25,All,Kerala
987,Brand115,Gadgets,30-45,Male,Kerala
988,Brand113,Clothing,22-40,All,Madhya Pradesh
989,Brand146,Nutrition Products,40-50,Female,Karnataka
990,Brand104,Travel Services,30-45,Male,Tamil Nadu
991,Brand122,Cosmetics,18-30,All,Madhya Pradesh
992,Brand121,Clothing,22-40,Male,Karnataka
993,Brand136,Smartphones,18-30,All,Uttar Pradesh
994,Brand118,Nutrition Products,30-45,Female,Kerala
995,Brand119,Smartphones,All,Male,Kerala
996,Brand102,Smartphones,40-50,Female,Madhya Pradesh
997,Brand115,Travel Services,18-25,All,Gujarat
998,Brand148,Art Supplies,22-40,All,Bihar
999,Brand129,Gadgets,22-40,Female,Madhya Pradesh
1000,Brand127,Art Supplies,All,Male,Uttar Pradesh
1001,Brand133,Home Appliances,40-50,All,Maharashtra
1002,Brand116,Gadgets,18-30,Male,Delhi
1003,Brand146,Gadgets,40-50,All,Kerala
1004,Brand141,Home Appliances,15-24,Female,Karnataka
1005,Brand148,Smartphones,18-30,Female,West Bengal
1006,Brand139,Travel Services,18-25,Female,Kerala
1007,Brand128,Smartphones,18-30,Female,Kerala
1008,Brand147,Food Products,All,Male,Kerala
1009,Brand119,Nutrition Products,All,Male,Kerala
1010,Brand111,Gadgets,18-28,Female,Maharashtra
1011,Brand142,Travel Services,18-25,Male,Maharashtra
1012,Brand143,Travel Services,All,All,Uttar Pradesh
1013,Brand109,Fashion Accessories,15-24,Female,Tamil Nadu
1014,Brand130,Travel Services,18-30,Female,Delhi
1015,Brand135,Gadgets,40-50,All,Gujarat
1016,Brand118,Food Products,25-40,All,Madhya Pradesh
1017,Brand135,Smartphones,18-28,Male,West Bengal
1018,Brand128,Cosmetics,22-40,Female,Tamil Nadu
1019,Brand118,Travel Services,18-30,All,Karnataka
1020,Brand109,Travel Services,18-30,Male,Tamil Nadu
1021,Brand104,Cosmetics,18-30,All,Kerala
1022,Brand111,Smartphones,15-24,Female,Madhya Pradesh
1023,Brand127,Travel Services,30-45,Male,Karnataka
1024,Brand126,Smartphones,25-40,Male,Bihar
1025,Brand121,Smartphones,18-28,Male,Madhya Pradesh
1026,Brand150,Gadgets,18-30,Female,Tamil Nadu
1027,Brand116,Travel Services,22-40,Male,Delhi
1028,Brand116,Travel Services,18-25,Female,West Bengal
1029,Brand106,Travel Services,25-40,Male,Madhya Pradesh
1030,Brand141,Smartphones,All,Male,Karnataka
1031,Brand138,Fashion Accessories,18-25,Female,Punjab
1032,Brand115,Smartphones,15-24,Male,Uttar Pradesh
1033,Brand146,Travel Services,18-25,All,Karnataka
1034,Brand102,Travel Services,18-28,Male,Kerala
1035,Brand115,Pet Supplies,18-25,Male,Delhi
1036,Brand138,Smartphones,All,All,Tamil Nadu
1037,Brand131,Books,All,All,Tamil Nadu
1038,Brand142,Travel Services,18-30,Female,Karnataka
1039,Brand141,Smartphones,18-28,Male,Gujarat
1040,Brand145,Gadgets,All,All,Punjab
1041,Brand143,Gadgets,18-30,All,Kerala
1042,Brand142,Nutrition Products,18-28,Female,Karnataka
1043,Brand135,Home Appliances,30-45,All,Punjab
1044,Brand129,Travel Services,25-40,Male,Bihar
1045,Brand144,Food Products,15-24,Female,Delhi
1046,Brand123,Smartphones,30-45,Female,Punjab
1047,Brand107,Pet Supplies,25-40,Male,West Bengal
1048,Brand117,Gadgets,30-45,Male,Kerala
1049,Brand149,Travel Services,18-25,All,Gujarat
1050,Brand120,Travel Services,22-40,Male,Kerala
1051,Brand106,Nutrition Products,18-30,Female,Kerala
1052,Brand112,Travel Services,18-28,All,Tamil Nadu
1053,Brand131,Eco-friendly Goods,All,All,Kerala
1054,Brand103,Cosmetics,18-25,Male,Karnataka
1055,Brand123,Gadgets,18-28,All,Kerala
1056,Brand146,Art Supplies,All,Female,Madhya Pradesh
1057,Brand104,Home Appliances,40-50,Male,Rajasthan
1058,Brand125,Smartphones,15-24,Female,Kerala
1059,Brand147,Travel Services,15-24,All,Haryana
1060,Brand142,Travel Services,18-25,Female,Tamil Nadu
1061,Brand109,Eco-friendly Goods,22-40,All,Uttar Pradesh
1062,Brand120,Travel Services,18-30,Female,Maharashtra
1063,Brand112,Eco-friendly Goods,18-28,Female,Delhi
1064,Brand118,Food Products,30-45,Female,Madhya Pradesh
1065,Brand140,Nutrition Products,18-30,Male,Goa
1066,Brand144,Gadgets,25-40,Female,Rajasthan
1067,Brand139,Travel Services,All,Female,Madhya Pradesh
1068,Brand133,Art Supplies,30-45,Female,Goa
1069,Brand144,Pet Supplies,18-28,All,Kerala
1070,Brand131,Travel Services,40-50,Male,Uttar Pradesh
1071,Brand122,Eco-friendly Goods,18-30,Male,Uttar Pradesh
1072,Brand134,Home Appliances,40-50,Male,Punjab
1073,Brand138,Gaming Products,22-40,Male,Kerala
1074,Brand109,Gaming Products,All,Female,Delhi
1075,Brand116,Smartphones,40-50,All,Karnataka
1076,Brand139,Gaming Products,22-40,All,Kerala
1077,Brand105,Eco-friendly Goods,18-30,Female,Haryana
1078,Brand139,Gaming Products,15-24,Female,Rajasthan
1079,Brand124,Home Appliances,25-40,Female,Rajasthan
1080,Brand111,Travel Services,18-30,Male,Madhya Pradesh
1081,Brand110,Gaming Products,All,Male,Gujarat
1082,Brand147,Fashion Accessories,30-45,Female,Madhya Pradesh
1083,Brand133,Nutrition Products,18-28,All,Delhi
1084,Brand119,Smartphones,18-28,Male,Delhi
1085,Brand115,Gadgets,18-28,Female,Karnataka
1086,Brand125,Travel Services,25-40,All,Madhya Pradesh
1087,Brand147,Travel Services,15-24,Male,Punjab
1088,Brand134,Art Supplies,All,All,Maharashtra
1089,Brand149,Fashion Accessories,All,Female,Maharashtra
1090,Brand114,Gaming Products,All,All,Tamil Nadu
1091,Brand139,Cosmetics,15-24,Male,Uttar Pradesh
1092,Brand115,Art Supplies,18-25,Male,Bihar
1093,Brand147,Gaming Products,25-40,All,Punjab
1094,Brand140,Gadgets,All,Male,Karnataka
1095,Brand109,Nutrition Products,18-25,Female,Madhya Pradesh
1096,Brand137,Travel Services,All,Male,Haryana
1097,Brand139,Art Supplies,30-45,All,Kerala
1098,Brand139,Smartphones,25-40,All,Delhi
1099,Brand128,Gadgets,15-24,Male,Karnataka
1100,Brand115,Smartphones,18-30,All,Maharashtra
1101,Brand130,Home Appliances,15-24,Female,Rajasthan
1102,Brand123,Food Products,18-28,All,Madhya Pradesh
1103,Brand137,Smartphones,40-50,Female,Delhi
1104,Brand140,Pet Supplies,18-30,All,Punjab
1105,Brand148,Art Supplies,18-28,Female,Gujarat
1106,Brand143,Art Supplies,All,Female,Punjab
1107,Brand129,Nutrition Products,18-28,All,Tamil Nadu
1108,Brand128,Art Supplies,18-28,All,Punjab
1109,Brand128,Fashion Accessories,15-24,All,Delhi
1110,Brand132,Smartphones,18-30,All,Madhya Pradesh
1111,Brand103,Fashion Accessories,25-40,Male,Delhi
1112,Brand148,Cosmetics,15-24,Male,Rajasthan
1113,Brand111,Cosmetics,15-24,Male,Tamil Nadu
1114,Brand130,Cosmetics,40-50,Female,Maharashtra
1115,Brand124,Food Products,All,Female,Punjab
