id,brand_name,target_category,target_age,target_gender,target_location,Influencer_name,Handle,Followers,Posts,Likes,Category,Sentiment,audience_location,audience_age,audience_gender,Platform,Engagement_rate
13,Brand78,Food Products,30-45,Male,Kerala,Isabella Moore,@noah.d,885659,762,5494,Food Products,Negative,Kerala,30-45,Female,Facebook,31.71141719
14,Brand16,Nutrition Products,15-24,Female,Karnataka,Isabella Moore,@emma.t,757739,976,6893,Nutrition Products,Negative,Karnataka,15-24,Female,Instagram,31.71141719
15,Brand76,Travel Services,18-28,All,Punjab,John Smith,@sophia.w,302086,999,42198,Travel Services,Neutral,Punjab,18-28,Female,Facebook,27.36739024
16,Brand50,Gaming Products,All,Female,Delhi,John Smith,@mia.lee,992087,245,18570,Gaming Products,Neutral,Delhi,All,Male,Twitter,27.36739024
17,Brand22,Nutrition Products,18-30,All,Goa,Olivia Clark,@sophia.w,801403,58,46587,Nutrition Products,Neutral,Goa,18-30,All,TikTok,27.30798268
18,Brand73,Nutrition Products,All,Female,Kerala,Olivia Clark,@emma.t,114466,534,15636,Nutrition Products,Neutral,Kerala,All,All,Instagram,27.30798268
19,Brand8,Cosmetics,25-40,Male,Tamil Nadu,Emma Taylor,@mia.lee,704611,386,21103,Cosmetics,Negative,Tamil Nadu,25-40,Male,Facebook,26.37089618
20,Brand75,Gadgets,18-28,Male,Karnataka,Isabella Moore,@jane.doe,287030,961,29251,Gadgets,Negative,Karnataka,18-28,Male,TikTok,26.37089618
21,Brand25,Pet Supplies,15-24,Male,Maharashtra,Mia Lee,@john.smith,980666,390,13377,Pet Supplies,Neutral,Maharashtra,15-24,Male,Twitter,26.15853246
22,Brand86,Books,25-40,All,Punjab,Olivia Clark,@emma.t,971583,962,24228,Books,Positive,Punjab,25-40,All,YouTube,26.15853246
23,Brand51,Fashion Accessories,18-25,All,Uttar Pradesh,Olivia Clark,@mason.w,204024,609,36337,Fashion Accessories,Negative,Uttar Pradesh,18-25,All,Instagram,25.95891454
24,Brand85,Clothing,22-40,All,Rajasthan,Sophia Wilson,@olivia.c,254997,540,25661,Clothing,Neutral,Rajasthan,22-40,Female,Twitter,25.95891454
25,Brand76,Art Supplies,All,Female,Maharashtra,Mia Lee,@olivia.c,981916,174,21697,Art Supplies,Neutral,Maharashtra,All,Male,TikTok,25.59114383
26,Brand92,Gaming Products,30-45,All,Kerala,Olivia Clark,@liam.brown,842653,544,41717,Gaming Products,Negative,Kerala,30-45,All,TikTok,25.59114383
27,Brand69,Cosmetics,18-30,All,Kerala,Emma Taylor,@jane.doe,784742,757,7083,Cosmetics,Neutral,Kerala,18-30,All,Instagram,25.0749733
28,Brand7,Art Supplies,18-30,All,Delhi,Liam Brown,@mia.lee,857495,317,6903,Art Supplies,Neutral,Delhi,18-30,Male,Twitter,25.0749733
29,Brand89,Smartphones,18-28,Female,Goa,Sophia Wilson,@mason.w,338878,205,47405,Smartphones,Negative,Goa,18-28,Female,YouTube,25.02461055
30,Brand51,Food Products,15-24,Male,Punjab,Mia Lee,@emma.t,366076,358,42833,Food Products,Negative,Punjab,15-24,All,YouTube,25.02461055
31,Brand43,Gaming Products,22-40,Female,Rajasthan,Jane Doe,@liam.brown,682670,978,37363,Gaming Products,Negative,Rajasthan,22-40,Female,Facebook,24.67815181
32,Brand23,Home Appliances,25-40,Male,Madhya Pradesh,Jane Doe,@emma.t,324945,153,26869,Home Appliances,Negative,Madhya Pradesh,25-40,Female,Twitter,24.67815181
33,Brand98,Travel Services,30-45,All,Karnataka,Emma Taylor,@liam.brown,440405,114,27018,Travel Services,Positive,Karnataka,30-45,All,YouTube,24.58968365
34,Brand58,Fashion Accessories,40-50,Female,Maharashtra,Liam Brown,@sophia.w,851696,922,12822,Fashion Accessories,Positive,Maharashtra,40-50,All,Facebook,24.58968365
35,Brand91,Cosmetics,All,Male,Maharashtra,Mason White,@jane.doe,709166,301,27084,Cosmetics,Neutral,Maharashtra,All,All,TikTok,24.00558307
36,Brand43,Home Appliances,22-40,All,Uttar Pradesh,Jane Doe,@john.smith,664210,143,12931,Home Appliances,Negative,Uttar Pradesh,22-40,Female,Facebook,24.00558307
37,Brand36,Fitness Equipment,18-25,All,Maharashtra,Mia Lee,@noah.d,264487,690,49145,Fitness Equipment,Negative,Maharashtra,18-25,All,YouTube,23.10618455
38,Brand19,Food Products,All,Female,Delhi,Jane Doe,@jane.doe,750376,229,43038,Food Products,Neutral,Delhi,All,Female,TikTok,23.10618455
39,Brand99,Clothing,25-34,All,Goa,John Smith,@mia.lee,546160,412,32011,Clothing,Positive,Goa,25-34,Male,Twitter,22.86368523
40,Brand85,Travel Services,22-40,Female,Rajasthan,John Smith,@sophia.w,426339,175,34550,Travel Services,Neutral,Rajasthan,22-40,Female,YouTube,22.86368523
41,Brand13,Smartphones,25-40,Female,Maharashtra,Isabella Moore,@sophia.w,360266,572,24651,Smartphones,Neutral,Maharashtra,25-40,Male,YouTube,22.7624004
42,Brand97,Gadgets,25-40,Female,Kerala,Emma Taylor,@mia.lee,169890,193,12690,Gadgets,Positive,Kerala,25-40,Male,YouTube,22.7624004
43,Brand60,Pet Supplies,18-30,Male,Rajasthan,Noah Davis,@sophia.w,258700,433,20008,Pet Supplies,Positive,Rajasthan,18-30,All,TikTok,22.60819598
44,Brand44,Clothing,25-40,All,Uttar Pradesh,Jane Doe,@olivia.c,638336,973,28180,Clothing,Negative,Uttar Pradesh,25-40,All,Facebook,22.60819598
45,Brand10,Books,25-34,All,Kerala,Mia Lee,@jane.doe,741445,605,39221,Books,Negative,Kerala,25-34,All,Instagram,22.44882152
46,Brand59,Travel Services,18-25,Male,Tamil Nadu,Mason White,@jane.doe,230748,632,24716,Travel Services,Positive,Tamil Nadu,18-25,Female,YouTube,22.44882152
47,Brand83,Cosmetics,18-25,Male,India,Jane Doe,@isabella.m,981575,190,5859,Cosmetics,Neutral,India,18-25,All,TikTok,22.33095379
48,Brand61,Travel Services,25-40,Female,Kerala,Sophia Wilson,@jane.doe,612971,832,29874,Travel Services,Neutral,Kerala,25-40,Female,Instagram,22.33095379
49,Brand24,Art Supplies,All,Female,Haryana,Jane Doe,@isabella.m,338287,669,22289,Art Supplies,Neutral,Haryana,All,All,Instagram,21.38634038
50,Brand43,Eco-friendly Goods,All,Female,Delhi,Liam Brown,@jane.doe,997417,51,34817,Eco-friendly Goods,Negative,Delhi,All,All,Facebook,21.38634038
51,Brand54,Fitness Equipment,15-24,All,Karnataka,Liam Brown,@mia.lee,590813,948,21691,Fitness Equipment,Positive,Karnataka,15-24,Female,Instagram,21.14014252
52,Brand55,Eco-friendly Goods,30-45,Female,India,Sophia Wilson,@john.smith,569337,264,9440,Eco-friendly Goods,Neutral,India,30-45,All,TikTok,21.14014252
53,Brand85,Gaming Products,30-45,Female,Madhya Pradesh,Olivia Clark,@mia.lee,345067,409,25937,Gaming Products,Negative,Madhya Pradesh,30-45,All,Instagram,20.95426518
54,Brand81,Smartphones,40-50,Female,Karnataka,John Smith,@noah.d,329737,827,38797,Smartphones,Positive,Karnataka,40-50,Female,YouTube,20.95426518
55,Brand31,Fitness Equipment,22-40,Male,Madhya Pradesh,Emma Taylor,@mia.lee,319946,895,40295,Fitness Equipment,Neutral,Madhya Pradesh,22-40,Male,TikTok,20.78869476
56,Brand26,Gaming Products,25-40,Female,Maharashtra,Jane Doe,@noah.d,520472,572,34721,Gaming Products,Positive,Maharashtra,25-40,Female,Facebook,20.78869476
57,Brand6,Gadgets,18-28,All,Karnataka,Liam Brown,@mia.lee,194736,490,48830,Gadgets,Positive,Karnataka,18-28,All,Twitter,20.33162967
58,Brand78,Fashion Accessories,30-45,Male,Madhya Pradesh,John Smith,@noah.d,743235,653,47632,Fashion Accessories,Positive,Madhya Pradesh,30-45,Female,Twitter,20.33162967
59,Brand53,Cosmetics,25-40,Male,Rajasthan,Emma Taylor,@olivia.c,964356,783,37434,Cosmetics,Neutral,Rajasthan,25-40,Female,Twitter,19.96491161
60,Brand80,Food Products,All,All,Tamil Nadu,Sophia Wilson,@noah.d,759662,178,5319,Food Products,Negative,Tamil Nadu,All,All,YouTube,19.96491161
61,Brand39,Clothing,40-50,All,Gujarat,Liam Brown,@liam.brown,540439,173,35756,Clothing,Neutral,Gujarat,40-50,Male,YouTube,19.40931516
62,Brand45,Gadgets,15-24,All,Haryana,Liam Brown,@john.smith,252015,947,35105,Gadgets,Neutral,Haryana,15-24,All,Instagram,19.40931516
63,Brand97,Nutrition Products,15-24,Female,Uttar Pradesh,Jane Doe,@noah.d,445513,279,10138,Nutrition Products,Negative,Uttar Pradesh,15-24,Female,Facebook,18.97520661
64,Brand47,Eco-friendly Goods,22-40,Male,Uttar Pradesh,Emma Taylor,@mia.lee,753283,371,29752,Eco-friendly Goods,Neutral,Uttar Pradesh,22-40,Female,Instagram,18.97520661
65,Brand46,Art Supplies,22-40,All,Uttar Pradesh,Sophia Wilson,@liam.brown,576648,480,30788,Art Supplies,Negative,Uttar Pradesh,22-40,Female,Twitter,18.85349793
66,Brand100,Eco-friendly Goods,18-30,Female,Madhya Pradesh,Jane Doe,@liam.brown,948008,751,17571,Eco-friendly Goods,Neutral,Madhya Pradesh,18-30,All,YouTube,18.85349793
67,Brand68,Pet Supplies,All,Male,West Bengal,Mason White,@olivia.c,106719,578,36862,Pet Supplies,Neutral,West Bengal,All,Male,Instagram,18.59366869
68,Brand69,Smartphones,All,Female,Bihar,Noah Davis,@mia.lee,134191,970,43159,Smartphones,Positive,Bihar,All,Male,Facebook,18.59366869
69,Brand32,Fitness Equipment,18-28,Male,West Bengal,John Smith,@olivia.c,986721,226,29972,Fitness Equipment,Positive,West Bengal,18-28,Male,Instagram,18.58125352
70,Brand67,Cosmetics,25-34,Male,Rajasthan,Emma Taylor,@sophia.w,547880,695,14435,Cosmetics,Positive,Rajasthan,25-34,All,TikTok,18.58125352
71,Brand54,Books,18-30,Female,Delhi,Isabella Moore,@mason.w,769004,879,39621,Books,Positive,Delhi,18-30,Male,Facebook,18.33361328
72,Brand88,Books,18-25,Male,India,Isabella Moore,@john.smith,359384,66,12052,Books,Negative,India,18-25,Female,YouTube,18.33361328
73,Brand98,Fashion Accessories,18-30,Female,Delhi,Jane Doe,@john.smith,321847,411,38800,Fashion Accessories,Negative,Delhi,18-30,Male,Instagram,18.09711648
74,Brand58,Fashion Accessories,All,Male,Punjab,Liam Brown,@liam.brown,701210,650,34680,Fashion Accessories,Neutral,Punjab,All,Male,TikTok,18.09711648
75,Brand7,Smartphones,25-34,Male,India,Mia Lee,@jane.doe,346981,933,44747,Smartphones,Negative,India,25-34,All,Facebook,17.81015959
76,Brand46,Pet Supplies,22-40,Female,India,Liam Brown,@isabella.m,728553,835,25543,Pet Supplies,Neutral,India,22-40,All,YouTube,17.81015959
77,Brand60,Clothing,25-34,Male,Uttar Pradesh,Mason White,@mason.w,462640,994,29311,Clothing,Positive,Uttar Pradesh,25-34,Male,TikTok,17.54838139
78,Brand33,Food Products,All,Male,West Bengal,Liam Brown,@mia.lee,149194,893,12415,Food Products,Neutral,West Bengal,All,All,TikTok,17.54838139
79,Brand67,Cosmetics,18-30,Male,India,Liam Brown,@mia.lee,770619,371,11225,Cosmetics,Positive,India,18-30,Female,Facebook,16.7619705
80,Brand81,Gaming Products,25-40,All,Tamil Nadu,Mason White,@isabella.m,628689,314,42584,Gaming Products,Positive,Tamil Nadu,25-40,All,Facebook,16.7619705
81,Brand1,Smartphones,25-34,Female,Madhya Pradesh,John Smith,@mason.w,967079,971,13017,Smartphones,Negative,Madhya Pradesh,25-34,Female,Twitter,16.73682826
82,Brand59,Home Appliances,18-28,All,West Bengal,Noah Davis,@sophia.w,304615,721,9526,Home Appliances,Negative,West Bengal,18-28,All,Instagram,16.73682826
83,Brand27,Home Appliances,18-30,Male,Rajasthan,Noah Davis,@mia.lee,671766,537,37528,Home Appliances,Negative,Rajasthan,18-30,All,TikTok,16.68668974
84,Brand62,Books,18-25,All,West Bengal,Jane Doe,@john.smith,974970,109,14332,Books,Positive,West Bengal,18-25,Female,Facebook,16.68668974
85,Brand10,Art Supplies,30-45,Male,Gujarat,Isabella Moore,@noah.d,577618,406,48174,Art Supplies,Neutral,Gujarat,30-45,All,Twitter,16.60842622
86,Brand66,Books,25-34,Female,West Bengal,Mason White,@emma.t,879146,679,8820,Books,Neutral,West Bengal,25-34,Male,YouTube,16.60842622
87,Brand97,Fitness Equipment,30-45,All,Delhi,Liam Brown,@liam.brown,163271,219,13726,Fitness Equipment,Negative,Delhi,30-45,Male,Facebook,16.22546494
88,Brand30,Smartphones,40-50,All,Karnataka,Emma Taylor,@olivia.c,250880,995,31060,Smartphones,Negative,Karnataka,40-50,All,YouTube,16.22546494
89,Brand65,Fashion Accessories,18-30,All,Goa,Emma Taylor,@sophia.w,398892,157,28967,Fashion Accessories,Negative,Goa,18-30,All,Twitter,16.21718532
90,Brand10,Art Supplies,30-45,All,Karnataka,Liam Brown,@liam.brown,164641,669,37643,Art Supplies,Negative,Karnataka,30-45,Male,TikTok,16.21718532
91,Brand74,Pet Supplies,18-28,Male,Rajasthan,Mason White,@sophia.w,293101,399,47557,Pet Supplies,Negative,Rajasthan,18-28,Female,Facebook,15.71096411
92,Brand42,Eco-friendly Goods,22-40,Female,Rajasthan,Jane Doe,@john.smith,103360,845,49827,Eco-friendly Goods,Negative,Rajasthan,22-40,Female,Instagram,15.71096411
93,Brand75,Eco-friendly Goods,25-34,All,Haryana,John Smith,@liam.brown,148689,509,13669,Eco-friendly Goods,Negative,Haryana,25-34,All,Twitter,15.578679
94,Brand19,Fashion Accessories,18-28,Female,Delhi,Isabella Moore,@isabella.m,170766,399,44329,Fashion Accessories,Positive,Delhi,18-28,Male,Facebook,15.578679
95,Brand81,Cosmetics,18-25,Male,Haryana,Liam Brown,@sophia.w,413139,132,46118,Cosmetics,Negative,Haryana,18-25,Male,Instagram,15.55373621
96,Brand83,Pet Supplies,All,Female,Gujarat,Emma Taylor,@mason.w,926247,548,43196,Pet Supplies,Negative,Gujarat,All,All,Twitter,15.55373621
97,Brand95,Books,22-40,Female,Kerala,Liam Brown,@mia.lee,227143,734,10428,Books,Positive,Kerala,22-40,Female,Facebook,15.44269105
98,Brand53,Art Supplies,25-40,Female,Kerala,John Smith,@john.smith,302621,186,43400,Art Supplies,Neutral,Kerala,25-40,All,YouTube,15.44269105
99,Brand28,Books,22-40,Female,Delhi,Mia Lee,@mason.w,803578,99,6915,Books,Negative,Delhi,22-40,All,Facebook,15.39510769
100,Brand79,Fitness Equipment,25-40,Female,Gujarat,Isabella Moore,@isabella.m,996589,569,36532,Fitness Equipment,Positive,Gujarat,25-40,Female,Instagram,15.39510769
101,Brand26,Art Supplies,18-25,Female,Rajasthan,Liam Brown,@jane.doe,191768,573,43651,Art Supplies,Positive,Rajasthan,18-25,Male,Instagram,15.33467938
102,Brand91,Eco-friendly Goods,All,Female,Madhya Pradesh,Isabella Moore,@olivia.c,664580,548,29148,Eco-friendly Goods,Positive,Madhya Pradesh,All,Female,TikTok,15.33467938
103,Brand95,Food Products,25-34,Male,West Bengal,John Smith,@mason.w,259094,297,8238,Food Products,Negative,West Bengal,25-34,Male,Facebook,15.25986108
104,Brand49,Pet Supplies,30-45,Male,Haryana,Liam Brown,@jane.doe,803442,71,25990,Pet Supplies,Positive,Haryana,30-45,All,YouTube,15.25986108
105,Brand100,Fitness Equipment,All,Female,Haryana,John Smith,@mia.lee,303539,427,20901,Fitness Equipment,Neutral,Haryana,All,All,YouTube,14.8172738
106,Brand9,Fitness Equipment,30-45,Female,India,John Smith,@emma.t,931113,606,29684,Fitness Equipment,Positive,India,30-45,Male,Instagram,14.8172738
107,Brand45,Gaming Products,15-24,Male,India,Isabella Moore,@john.smith,719823,522,41549,Gaming Products,Neutral,India,15-24,Male,YouTube,14.57948085
108,Brand26,Eco-friendly Goods,18-30,Female,Goa,John Smith,@jane.doe,971613,572,22208,Eco-friendly Goods,Negative,Goa,18-30,Female,TikTok,14.57948085
109,Brand25,Clothing,22-40,All,Goa,Olivia Clark,@olivia.c,354942,123,33066,Clothing,Positive,Goa,22-40,Female,YouTube,14.43032719
110,Brand51,Food Products,18-28,Female,Kerala,John Smith,@john.smith,949199,883,25661,Food Products,Neutral,Kerala,18-28,Male,Facebook,14.43032719
111,Brand81,Art Supplies,30-45,Male,Bihar,John Smith,@jane.doe,584514,81,24689,Art Supplies,Neutral,Bihar,30-45,All,Instagram,14.34137089
112,Brand64,Fitness Equipment,18-25,All,Uttar Pradesh,Noah Davis,@mason.w,122071,821,15344,Fitness Equipment,Neutral,Uttar Pradesh,18-25,Male,TikTok,14.34137089
113,Brand78,Books,18-28,Female,Haryana,Sophia Wilson,@sophia.w,205073,550,42632,Books,Positive,Haryana,18-28,All,Facebook,14.1220194
114,Brand22,Gaming Products,18-25,Female,Bihar,Olivia Clark,@mia.lee,410217,250,42721,Gaming Products,Neutral,Bihar,18-25,Female,Facebook,14.1220194
115,Brand20,Pet Supplies,All,Male,Haryana,Liam Brown,@jane.doe,441198,940,16687,Pet Supplies,Neutral,Haryana,All,Male,YouTube,14.05833464
116,Brand83,Smartphones,18-30,Male,Goa,Emma Taylor,@isabella.m,923384,294,12368,Smartphones,Neutral,Goa,18-30,Male,Twitter,14.05833464
117,Brand5,Travel Services,40-50,All,Maharashtra,John Smith,@jane.doe,326420,887,33376,Travel Services,Neutral,Maharashtra,40-50,All,Facebook,14.02754379
118,Brand12,Smartphones,40-50,Female,India,Noah Davis,@noah.d,803065,827,39300,Smartphones,Negative,India,40-50,Male,Twitter,14.02754379
119,Brand62,Food Products,All,Male,Maharashtra,John Smith,@mason.w,268214,260,48539,Food Products,Positive,Maharashtra,All,All,YouTube,13.98881013
120,Brand21,Gadgets,18-28,Female,West Bengal,Liam Brown,@noah.d,517718,501,46087,Gadgets,Positive,West Bengal,18-28,Male,YouTube,13.98881013
121,Brand32,Gaming Products,25-40,All,Rajasthan,Liam Brown,@olivia.c,396699,632,29246,Gaming Products,Positive,Rajasthan,25-40,Male,YouTube,13.96886979
122,Brand30,Nutrition Products,40-50,Female,Maharashtra,Liam Brown,@isabella.m,538183,513,14579,Nutrition Products,Neutral,Maharashtra,40-50,All,TikTok,13.96886979
123,Brand74,Eco-friendly Goods,40-50,All,West Bengal,Noah Davis,@noah.d,930284,767,46850,Eco-friendly Goods,Neutral,West Bengal,40-50,Female,Facebook,13.92972641
124,Brand54,Cosmetics,22-40,All,Delhi,Liam Brown,@isabella.m,463172,590,42966,Cosmetics,Positive,Delhi,22-40,All,Facebook,13.92972641
125,Brand59,Books,22-40,Male,Uttar Pradesh,Mia Lee,@mason.w,699658,951,15396,Books,Positive,Uttar Pradesh,22-40,Female,TikTok,13.90066504
126,Brand59,Nutrition Products,25-34,Female,Karnataka,Isabella Moore,@john.smith,194994,406,37847,Nutrition Products,Negative,Karnataka,25-34,Male,Twitter,13.90066504
127,Brand32,Fitness Equipment,22-40,Male,India,Emma Taylor,@john.smith,420236,94,36731,Fitness Equipment,Negative,India,22-40,Female,Instagram,13.65995143
128,Brand4,Pet Supplies,18-25,All,Kerala,Noah Davis,@john.smith,223769,259,47856,Pet Supplies,Neutral,Kerala,18-25,Female,Facebook,13.65995143
129,Brand59,Cosmetics,22-40,All,Karnataka,Emma Taylor,@john.smith,656987,911,32191,Cosmetics,Negative,Karnataka,22-40,Male,Instagram,13.61613304
130,Brand46,Cosmetics,22-40,Male,Goa,Mason White,@emma.t,866294,916,19657,Cosmetics,Negative,Goa,22-40,Female,Twitter,13.61613304
131,Brand64,Food Products,30-45,Male,Madhya Pradesh,Emma Taylor,@liam.brown,864140,543,29948,Food Products,Positive,Madhya Pradesh,30-45,All,Facebook,13.60840444
132,Brand63,Eco-friendly Goods,All,Male,Maharashtra,Olivia Clark,@emma.t,917580,232,48466,Eco-friendly Goods,Neutral,Maharashtra,All,All,YouTube,13.60840444
133,Brand66,Fashion Accessories,All,Male,Delhi,Isabella Moore,@olivia.c,586814,623,18040,Fashion Accessories,Neutral,Delhi,All,Female,Facebook,13.3713294
134,Brand64,Cosmetics,All,All,Delhi,Olivia Clark,@isabella.m,208616,189,41650,Cosmetics,Negative,Delhi,All,Female,Twitter,13.3713294
135,Brand67,Pet Supplies,25-34,All,Tamil Nadu,Liam Brown,@olivia.c,520363,744,10408,Pet Supplies,Positive,Tamil Nadu,25-34,Female,TikTok,12.96693672
136,Brand85,Cosmetics,25-40,Male,Delhi,John Smith,@sophia.w,346746,68,48200,Cosmetics,Negative,Delhi,25-40,All,Twitter,12.96693672
137,Brand25,Gaming Products,25-34,Male,Uttar Pradesh,John Smith,@mia.lee,816903,610,24956,Gaming Products,Negative,Uttar Pradesh,25-34,Female,Instagram,12.89609518
138,Brand58,Travel Services,30-45,Female,India,Isabella Moore,@mason.w,248701,166,43643,Travel Services,Neutral,India,30-45,Male,YouTube,12.89609518
139,Brand77,Food Products,18-28,All,Maharashtra,Noah Davis,@sophia.w,532252,676,40628,Food Products,Neutral,Maharashtra,18-28,Male,Instagram,12.59431279
140,Brand40,Pet Supplies,25-34,All,Delhi,Sophia Wilson,@noah.d,470874,401,44356,Pet Supplies,Positive,Delhi,25-34,Female,Twitter,12.59431279
141,Brand30,Clothing,18-30,All,Uttar Pradesh,Sophia Wilson,@john.smith,556836,85,33536,Clothing,Neutral,Uttar Pradesh,18-30,All,Twitter,12.57950089
142,Brand95,Home Appliances,18-30,Male,Rajasthan,John Smith,@emma.t,310014,916,38902,Home Appliances,Neutral,Rajasthan,18-30,All,YouTube,12.57950089
143,Brand33,Cosmetics,40-50,Female,Kerala,Liam Brown,@isabella.m,603109,625,48132,Cosmetics,Negative,Kerala,40-50,All,Instagram,12.56973401
144,Brand69,Fitness Equipment,30-45,All,Karnataka,Noah Davis,@noah.d,340263,684,40648,Fitness Equipment,Neutral,Karnataka,30-45,Female,TikTok,12.56973401
145,Brand6,Travel Services,18-25,Female,Haryana,Sophia Wilson,@olivia.c,977050,974,47448,Travel Services,Neutral,Haryana,18-25,Female,Instagram,12.54846555
146,Brand37,Fashion Accessories,18-25,All,Haryana,Olivia Clark,@john.smith,374760,545,27702,Fashion Accessories,Neutral,Haryana,18-25,Female,Twitter,12.54846555
147,Brand53,Fashion Accessories,22-40,Male,Punjab,Mia Lee,@olivia.c,341917,289,9902,Fashion Accessories,Negative,Punjab,22-40,Male,Twitter,12.38042092
148,Brand13,Travel Services,40-50,All,Punjab,Isabella Moore,@jane.doe,739610,273,40890,Travel Services,Negative,Punjab,40-50,Female,Facebook,12.38042092
149,Brand99,Gadgets,22-40,Male,Maharashtra,Mia Lee,@jane.doe,738185,54,38307,Gadgets,Positive,Maharashtra,22-40,Male,TikTok,12.27309791
150,Brand21,Eco-friendly Goods,18-30,Male,Tamil Nadu,Mia Lee,@mia.lee,526459,941,46195,Eco-friendly Goods,Positive,Tamil Nadu,18-30,Male,Twitter,12.27309791
151,Brand3,Books,18-28,Male,Gujarat,John Smith,@sophia.w,990005,212,12087,Books,Neutral,Gujarat,18-28,Female,YouTube,12.23212294
152,Brand91,Travel Services,18-28,Female,Uttar Pradesh,Mia Lee,@sophia.w,531250,965,6593,Travel Services,Neutral,Uttar Pradesh,18-28,All,YouTube,12.23212294
153,Brand14,Fashion Accessories,18-30,Male,West Bengal,Jane Doe,@mia.lee,451617,451,28116,Fashion Accessories,Positive,West Bengal,18-30,Female,YouTube,12.08921779
154,Brand47,Gaming Products,18-30,Female,Maharashtra,Jane Doe,@mason.w,585098,60,29161,Gaming Products,Neutral,Maharashtra,18-30,Female,YouTube,12.08921779
155,Brand6,Cosmetics,18-28,All,Maharashtra,Sophia Wilson,@jane.doe,419592,266,25549,Cosmetics,Neutral,Maharashtra,18-28,All,YouTube,12.06667157
156,Brand28,Travel Services,40-50,Male,Rajasthan,Mia Lee,@emma.t,219477,370,49270,Travel Services,Negative,Rajasthan,40-50,All,Facebook,12.06667157
157,Brand11,Fitness Equipment,18-28,Female,Bihar,Jane Doe,@mia.lee,809967,133,22413,Fitness Equipment,Negative,Bihar,18-28,All,Facebook,12.06105267
158,Brand45,Art Supplies,40-50,Female,Bihar,Isabella Moore,@noah.d,263274,87,17265,Art Supplies,Neutral,Bihar,40-50,Female,YouTube,12.06105267
159,Brand30,Pet Supplies,All,Female,Haryana,Olivia Clark,@noah.d,985901,61,38872,Pet Supplies,Positive,Haryana,All,All,Twitter,12.05541764
160,Brand51,Gaming Products,All,Female,West Bengal,Emma Taylor,@john.smith,273889,171,42000,Gaming Products,Negative,West Bengal,All,Male,YouTube,12.05541764
161,Brand30,Travel Services,40-50,Female,Goa,Mia Lee,@liam.brown,419896,915,34371,Travel Services,Positive,Goa,40-50,All,Instagram,11.94605349
162,Brand19,Fitness Equipment,18-25,Female,Rajasthan,Mia Lee,@liam.brown,761467,761,16033,Fitness Equipment,Positive,Rajasthan,18-25,All,Instagram,11.94605349
163,Brand84,Nutrition Products,18-30,All,Delhi,Mia Lee,@isabella.m,609410,533,17527,Nutrition Products,Negative,Delhi,18-30,Female,YouTube,11.87866348
164,Brand37,Gadgets,30-45,Male,Madhya Pradesh,Mia Lee,@mia.lee,840086,709,11630,Gadgets,Positive,Madhya Pradesh,30-45,Female,Facebook,11.87866348
165,Brand41,Fashion Accessories,25-34,Male,Tamil Nadu,Isabella Moore,@john.smith,275737,955,23854,Fashion Accessories,Positive,Tamil Nadu,25-34,Female,Twitter,11.81519725
166,Brand15,Smartphones,25-40,Male,Punjab,Sophia Wilson,@emma.t,288676,273,36314,Smartphones,Positive,Punjab,25-40,Female,YouTube,11.81519725
