,id,brand_name,Product_category,target_age,target_gender,target_location,Influencer_name,Handle,Followers,Posts,Likes,Category,Sentiment,audience_location,audience_age,audience_Gender,Platform,Engagement_rate,Interaction,Tags
35,36,Brand43,Home Appliances,22-40,All,Uttar Pradesh,Jane Doe,@john.smith,664210,143,12931,"home, appliances",Negative,"uttar, pradesh","22, 40",female,facebook,1.946824047,0,"home, appliances, uttar, pradesh, 22, 40, female, facebook"
36,37,Brand36,Fitness Equipment,18-25,All,Maharashtra,Mia Lee,@noah.d,264487,690,49145,"fitness, equipment",Negative,maharashtra,"18, 25",,youtube,18.58125352,1,"fitness, equipment, maharashtra, 18, 25, , youtube"
37,38,Brand19,Food Products,All,Female,Delhi,Jane Doe,@jane.doe,750376,229,43038,"food, products",Neutral,delhi,,female,tiktok,5.73552459,1,"food, products, delhi, , female, tiktok"
38,39,Brand99,Clothing,25-34,All,Goa,John Smith,@mia.lee,546160,412,32011,clothing,Positive,goa,"25, 34",male,twitter,5.861102973,1,"clothing, goa, 25, 34, male, twitter"
39,40,Brand85,Travel Services,22-40,Female,Rajasthan,John Smith,@sophia.w,426339,175,34550,"travel, services",Neutral,rajasthan,"22, 40",female,youtube,8.103879776,1,"travel, services, rajasthan, 22, 40, female, youtube"
40,41,Brand13,Smartphones,25-40,Female,Maharashtra,Isabella Moore,@sophia.w,360266,572,24651,smartphones,Neutral,maharashtra,"25, 40",male,youtube,6.842444194,1,"smartphones, maharashtra, 25, 40, male, youtube"
41,42,Brand97,Gadgets,25-40,Female,Kerala,Emma Taylor,@mia.lee,169890,193,12690,gadgets,Positive,kerala,"25, 40",male,youtube,7.469539114,1,"gadgets, kerala, 25, 40, male, youtube"
42,43,Brand60,Pet Supplies,18-30,Male,Rajasthan,Noah Davis,@sophia.w,258700,433,20008,"pet, supplies",Positive,rajasthan,"18, 30",,tiktok,7.73405489,1,"pet, supplies, rajasthan, 18, 30, , tiktok"
43,44,Brand44,Clothing,25-40,All,Uttar Pradesh,Jane Doe,@olivia.c,638336,973,28180,clothing,Negative,"uttar, pradesh","25, 40",,facebook,4.414602968,0,"clothing, uttar, pradesh, 25, 40, , facebook"
44,45,Brand10,Books,25-34,All,Kerala,Mia Lee,@jane.doe,741445,605,39221,books,Negative,kerala,"25, 34",,instagram,5.289805717,1,"books, kerala, 25, 34, , instagram"
45,46,Brand59,Travel Services,18-25,Male,Tamil Nadu,Mason White,@jane.doe,230748,632,24716,"travel, services",Positive,"tamil, nadu","18, 25",female,youtube,10.7112521,1,"travel, services, tamil, nadu, 18, 25, female, youtube"
46,47,Brand83,Cosmetics,18-25,Male,India,Jane Doe,@isabella.m,981575,190,5859,cosmetics,Neutral,india,"18, 25",,tiktok,0.596897843,0,"cosmetics, india, 18, 25, , tiktok"
47,48,Brand61,Travel Services,25-40,Female,Kerala,Sophia Wilson,@jane.doe,612971,832,29874,"travel, services",Neutral,kerala,"25, 40",female,instagram,4.873640025,0,"travel, services, kerala, 25, 40, female, instagram"
48,49,Brand24,Art Supplies,All,Female,Haryana,Jane Doe,@isabella.m,338287,669,22289,"art, supplies",Neutral,haryana,,,instagram,6.58878408,1,"art, supplies, haryana, , , instagram"
49,50,Brand43,Eco-friendly Goods,All,Female,Delhi,Liam Brown,@jane.doe,997417,51,34817,"eco, friendly, goods",Negative,delhi,,,facebook,3.490716521,0,"eco, friendly, goods, delhi, , , facebook"
50,51,Brand54,Fitness Equipment,15-24,All,Karnataka,Liam Brown,@mia.lee,590813,948,21691,"fitness, equipment",Positive,karnataka,"15, 24",female,instagram,3.671381639,0,"fitness, equipment, karnataka, 15, 24, female, instagram"
51,52,Brand55,Eco-friendly Goods,30-45,Female,India,Sophia Wilson,@john.smith,569337,264,9440,"eco, friendly, goods",Neutral,india,"30, 45",,tiktok,1.658068947,0,"eco, friendly, goods, india, 30, 45, , tiktok"
52,53,Brand85,Gaming Products,30-45,Female,Madhya Pradesh,Olivia Clark,@mia.lee,345067,409,25937,"gaming, products",Negative,"madhya, pradesh","30, 45",,instagram,7.516511286,1,"gaming, products, madhya, pradesh, 30, 45, , instagram"
53,54,Brand81,Smartphones,40-50,Female,Karnataka,John Smith,@noah.d,329737,827,38797,smartphones,Positive,karnataka,"40, 50",female,youtube,11.76604385,1,"smartphones, karnataka, 40, 50, female, youtube"
54,55,Brand31,Fitness Equipment,22-40,Male,Madhya Pradesh,Emma Taylor,@mia.lee,319946,895,40295,"fitness, equipment",Neutral,"madhya, pradesh","22, 40",male,tiktok,12.59431279,1,"fitness, equipment, madhya, pradesh, 22, 40, male, tiktok"
55,56,Brand26,Gaming Products,25-40,Female,Maharashtra,Jane Doe,@noah.d,520472,572,34721,"gaming, products",Positive,maharashtra,"25, 40",female,facebook,6.671060115,1,"gaming, products, maharashtra, 25, 40, female, facebook"
56,57,Brand6,Gadgets,18-28,All,Karnataka,Liam Brown,@mia.lee,194736,490,48830,gadgets,Positive,karnataka,"18, 28",,twitter,25.0749733,1,"gadgets, karnataka, 18, 28, , twitter"
57,58,Brand78,Fashion Accessories,30-45,Male,Madhya Pradesh,John Smith,@noah.d,743235,653,47632,"fashion, accessories",Positive,"madhya, pradesh","30, 45",female,twitter,6.40874017,1,"fashion, accessories, madhya, pradesh, 30, 45, female, twitter"
58,59,Brand53,Cosmetics,25-40,Male,Rajasthan,Emma Taylor,@olivia.c,964356,783,37434,cosmetics,Neutral,rajasthan,"25, 40",female,twitter,3.881761507,0,"cosmetics, rajasthan, 25, 40, female, twitter"
59,60,Brand80,Food Products,All,All,Tamil Nadu,Sophia Wilson,@noah.d,759662,178,5319,"food, products",Negative,"tamil, nadu",,,youtube,0.700179817,0,"food, products, tamil, nadu, , , youtube"
60,61,Brand39,Clothing,40-50,All,Gujarat,Liam Brown,@liam.brown,540439,173,35756,clothing,Neutral,gujarat,"40, 50",male,youtube,6.616102835,1,"clothing, gujarat, 40, 50, male, youtube"
61,62,Brand45,Gadgets,15-24,All,Haryana,Liam Brown,@john.smith,252015,947,35105,gadgets,Neutral,haryana,"15, 24",,instagram,13.92972641,1,"gadgets, haryana, 15, 24, , instagram"
62,63,Brand97,Nutrition Products,15-24,Female,Uttar Pradesh,Jane Doe,@noah.d,445513,279,10138,"nutrition, products",Negative,"uttar, pradesh","15, 24",female,facebook,2.275578939,0,"nutrition, products, uttar, pradesh, 15, 24, female, facebook"
63,64,Brand47,Eco-friendly Goods,22-40,Male,Uttar Pradesh,Emma Taylor,@mia.lee,753283,371,29752,"eco, friendly, goods",Neutral,"uttar, pradesh","22, 40",female,instagram,3.949644423,0,"eco, friendly, goods, uttar, pradesh, 22, 40, female, instagram"
64,65,Brand46,Art Supplies,22-40,All,Uttar Pradesh,Sophia Wilson,@liam.brown,576648,480,30788,"art, supplies",Negative,"uttar, pradesh","22, 40",female,twitter,5.339132365,1,"art, supplies, uttar, pradesh, 22, 40, female, twitter"
65,66,Brand100,Eco-friendly Goods,18-30,Female,Madhya Pradesh,Jane Doe,@liam.brown,948008,751,17571,"eco, friendly, goods",Neutral,"madhya, pradesh","18, 30",,youtube,1.853465372,0,"eco, friendly, goods, madhya, pradesh, 18, 30, , youtube"
66,67,Brand68,Pet Supplies,All,Male,West Bengal,Mason White,@olivia.c,106719,578,36862,"pet, supplies",Neutral,"west, bengal",,male,instagram,34.54117823,1,"pet, supplies, west, bengal, , male, instagram"
67,68,Brand69,Smartphones,All,Female,Bihar,Noah Davis,@mia.lee,134191,970,43159,smartphones,Positive,bihar,,male,facebook,32.16236558,1,"smartphones, bihar, , male, facebook"
68,69,Brand32,Fitness Equipment,18-28,Male,West Bengal,John Smith,@olivia.c,986721,226,29972,"fitness, equipment",Positive,"west, bengal","18, 28",male,instagram,3.037535433,0,"fitness, equipment, west, bengal, 18, 28, male, instagram"
69,70,Brand67,Cosmetics,25-34,Male,Rajasthan,Emma Taylor,@sophia.w,547880,695,14435,cosmetics,Positive,rajasthan,"25, 34",,tiktok,2.634701029,0,"cosmetics, rajasthan, 25, 34, , tiktok"
70,71,Brand54,Books,18-30,Female,Delhi,Isabella Moore,@mason.w,769004,879,39621,books,Positive,delhi,"18, 30",male,facebook,5.152248883,1,"books, delhi, 18, 30, male, facebook"
71,72,Brand88,Books,18-25,Male,India,Isabella Moore,@john.smith,359384,66,12052,books,Negative,india,"18, 25",female,youtube,3.353516016,0,"books, india, 18, 25, female, youtube"
72,73,Brand98,Fashion Accessories,18-30,Female,Delhi,Jane Doe,@john.smith,321847,411,38800,"fashion, accessories",Negative,delhi,"18, 30",male,instagram,12.05541764,1,"fashion, accessories, delhi, 18, 30, male, instagram"
73,74,Brand58,Fashion Accessories,All,Male,Punjab,Liam Brown,@liam.brown,701210,650,34680,"fashion, accessories",Neutral,punjab,,male,tiktok,4.945736655,0,"fashion, accessories, punjab, , male, tiktok"
74,75,Brand7,Smartphones,25-34,Male,India,Mia Lee,@jane.doe,346981,933,44747,smartphones,Negative,india,"25, 34",,facebook,12.89609518,1,"smartphones, india, 25, 34, , facebook"
75,76,Brand46,Pet Supplies,22-40,Female,India,Liam Brown,@isabella.m,728553,835,25543,"pet, supplies",Neutral,india,"22, 40",,youtube,3.505990642,0,"pet, supplies, india, 22, 40, , youtube"
76,77,Brand60,Clothing,25-34,Male,Uttar Pradesh,Mason White,@mason.w,462640,994,29311,clothing,Positive,"uttar, pradesh","25, 34",male,tiktok,6.335595712,1,"clothing, uttar, pradesh, 25, 34, male, tiktok"
77,78,Brand33,Food Products,All,Male,West Bengal,Liam Brown,@mia.lee,149194,893,12415,"food, products",Neutral,"west, bengal",,,tiktok,8.321380216,1,"food, products, west, bengal, , , tiktok"
78,79,Brand67,Cosmetics,18-30,Male,India,Liam Brown,@mia.lee,770619,371,11225,cosmetics,Positive,india,"18, 30",female,facebook,1.456621236,0,"cosmetics, india, 18, 30, female, facebook"
79,80,Brand81,Gaming Products,25-40,All,Tamil Nadu,Mason White,@isabella.m,628689,314,42584,"gaming, products",Positive,"tamil, nadu","25, 40",,facebook,6.773460328,1,"gaming, products, tamil, nadu, 25, 40, , facebook"
80,81,Brand1,Smartphones,25-34,Female,Madhya Pradesh,John Smith,@mason.w,967079,971,13017,smartphones,Negative,"madhya, pradesh","25, 34",female,twitter,1.346012063,0,"smartphones, madhya, pradesh, 25, 34, female, twitter"
81,82,Brand59,Home Appliances,18-28,All,West Bengal,Noah Davis,@sophia.w,304615,721,9526,"home, appliances",Negative,"west, bengal","18, 28",,instagram,3.127226171,0,"home, appliances, west, bengal, 18, 28, , instagram"
82,83,Brand27,Home Appliances,18-30,Male,Rajasthan,Noah Davis,@mia.lee,671766,537,37528,"home, appliances",Negative,rajasthan,"18, 30",,tiktok,5.586469098,1,"home, appliances, rajasthan, 18, 30, , tiktok"
83,84,Brand62,Books,18-25,All,West Bengal,Jane Doe,@john.smith,974970,109,14332,books,Positive,"west, bengal","18, 25",female,facebook,1.469993949,0,"books, west, bengal, 18, 25, female, facebook"
84,85,Brand10,Art Supplies,30-45,Male,Gujarat,Isabella Moore,@noah.d,577618,406,48174,"art, supplies",Neutral,gujarat,"30, 45",,twitter,8.340114055,1,"art, supplies, gujarat, 30, 45, , twitter"
85,86,Brand66,Books,25-34,Female,West Bengal,Mason White,@emma.t,879146,679,8820,books,Neutral,"west, bengal","25, 34",male,youtube,1.003246332,0,"books, west, bengal, 25, 34, male, youtube"
86,87,Brand97,Fitness Equipment,30-45,All,Delhi,Liam Brown,@liam.brown,163271,219,13726,"fitness, equipment",Negative,delhi,"30, 45",male,facebook,8.40688181,1,"fitness, equipment, delhi, 30, 45, male, facebook"
87,88,Brand30,Smartphones,40-50,All,Karnataka,Emma Taylor,@olivia.c,250880,995,31060,smartphones,Negative,karnataka,"40, 50",,youtube,12.38042092,1,"smartphones, karnataka, 40, 50, , youtube"
88,89,Brand65,Fashion Accessories,18-30,All,Goa,Emma Taylor,@sophia.w,398892,157,28967,"fashion, accessories",Negative,goa,"18, 30",,twitter,7.261865367,1,"fashion, accessories, goa, 18, 30, , twitter"
89,90,Brand10,Art Supplies,30-45,All,Karnataka,Liam Brown,@liam.brown,164641,669,37643,"art, supplies",Negative,karnataka,"30, 45",male,tiktok,22.86368523,1,"art, supplies, karnataka, 30, 45, male, tiktok"
90,91,Brand74,Pet Supplies,18-28,Male,Rajasthan,Mason White,@sophia.w,293101,399,47557,"pet, supplies",Negative,rajasthan,"18, 28",female,facebook,16.22546494,1,"pet, supplies, rajasthan, 18, 28, female, facebook"
91,92,Brand42,Eco-friendly Goods,22-40,Female,Rajasthan,Jane Doe,@john.smith,103360,845,49827,"eco, friendly, goods",Negative,rajasthan,"22, 40",female,instagram,48.20723684,1,"eco, friendly, goods, rajasthan, 22, 40, female, instagram"
92,93,Brand75,Eco-friendly Goods,25-34,All,Haryana,John Smith,@liam.brown,148689,509,13669,"eco, friendly, goods",Negative,haryana,"25, 34",,twitter,9.193013606,1,"eco, friendly, goods, haryana, 25, 34, , twitter"
93,94,Brand19,Fashion Accessories,18-28,Female,Delhi,Isabella Moore,@isabella.m,170766,399,44329,"fashion, accessories",Positive,delhi,"18, 28",male,facebook,25.95891454,1,"fashion, accessories, delhi, 18, 28, male, facebook"
94,95,Brand81,Cosmetics,18-25,Male,Haryana,Liam Brown,@sophia.w,413139,132,46118,cosmetics,Negative,haryana,"18, 25",male,instagram,11.16282898,1,"cosmetics, haryana, 18, 25, male, instagram"
95,96,Brand83,Pet Supplies,All,Female,Gujarat,Emma Taylor,@mason.w,926247,548,43196,"pet, supplies",Negative,gujarat,,,twitter,4.663550867,0,"pet, supplies, gujarat, , , twitter"
96,97,Brand95,Books,22-40,Female,Kerala,Liam Brown,@mia.lee,227143,734,10428,books,Positive,kerala,"22, 40",female,facebook,4.590940509,0,"books, kerala, 22, 40, female, facebook"
97,98,Brand53,Art Supplies,25-40,Female,Kerala,John Smith,@john.smith,302621,186,43400,"art, supplies",Neutral,kerala,"25, 40",,youtube,14.34137089,1,"art, supplies, kerala, 25, 40, , youtube"
98,99,Brand28,Books,22-40,Female,Delhi,Mia Lee,@mason.w,803578,99,6915,books,Negative,delhi,"22, 40",,facebook,0.860526296,0,"books, delhi, 22, 40, , facebook"
99,100,Brand79,Fitness Equipment,25-40,Female,Gujarat,Isabella Moore,@isabella.m,996589,569,36532,"fitness, equipment",Positive,gujarat,"25, 40",female,instagram,3.665703715,0,"fitness, equipment, gujarat, 25, 40, female, instagram"
100,101,Brand26,Art Supplies,18-25,Female,Rajasthan,Liam Brown,@jane.doe,191768,573,43651,"art, supplies",Positive,rajasthan,"18, 25",male,instagram,22.7624004,1,"art, supplies, rajasthan, 18, 25, male, instagram"
101,102,Brand91,Eco-friendly Goods,All,Female,Madhya Pradesh,Isabella Moore,@olivia.c,664580,548,29148,"eco, friendly, goods",Positive,"madhya, pradesh",,female,tiktok,4.385927954,0,"eco, friendly, goods, madhya, pradesh, , female, tiktok"
102,103,Brand95,Food Products,25-34,Male,West Bengal,John Smith,@mason.w,259094,297,8238,"food, products",Negative,"west, bengal","25, 34",male,facebook,3.179541016,0,"food, products, west, bengal, 25, 34, male, facebook"
103,104,Brand49,Pet Supplies,30-45,Male,Haryana,Liam Brown,@jane.doe,803442,71,25990,"pet, supplies",Positive,haryana,"30, 45",,youtube,3.234832135,0,"pet, supplies, haryana, 30, 45, , youtube"
104,105,Brand100,Fitness Equipment,All,Female,Haryana,John Smith,@mia.lee,303539,427,20901,"fitness, equipment",Neutral,haryana,,,youtube,6.885770856,1,"fitness, equipment, haryana, , , youtube"
105,106,Brand9,Fitness Equipment,30-45,Female,India,John Smith,@emma.t,931113,606,29684,"fitness, equipment",Positive,india,"30, 45",male,instagram,3.188012626,0,"fitness, equipment, india, 30, 45, male, instagram"
106,107,Brand45,Gaming Products,15-24,Male,India,Isabella Moore,@john.smith,719823,522,41549,"gaming, products",Neutral,india,"15, 24",male,youtube,5.772113422,1,"gaming, products, india, 15, 24, male, youtube"
107,108,Brand26,Eco-friendly Goods,18-30,Female,Goa,John Smith,@jane.doe,971613,572,22208,"eco, friendly, goods",Negative,goa,"18, 30",female,tiktok,2.285683703,0,"eco, friendly, goods, goa, 18, 30, female, tiktok"
108,109,Brand25,Clothing,22-40,All,Goa,Olivia Clark,@olivia.c,354942,123,33066,clothing,Positive,goa,"22, 40",female,youtube,9.31588823,1,"clothing, goa, 22, 40, female, youtube"
109,110,Brand51,Food Products,18-28,Female,Kerala,John Smith,@john.smith,949199,883,25661,"food, products",Neutral,kerala,"18, 28",male,facebook,2.703437319,0,"food, products, kerala, 18, 28, male, facebook"
110,111,Brand81,Art Supplies,30-45,Male,Bihar,John Smith,@jane.doe,584514,81,24689,"art, supplies",Neutral,bihar,"30, 45",,instagram,4.223850926,0,"art, supplies, bihar, 30, 45, , instagram"
111,112,Brand64,Fitness Equipment,18-25,All,Uttar Pradesh,Noah Davis,@mason.w,122071,821,15344,"fitness, equipment",Neutral,"uttar, pradesh","18, 25",male,tiktok,12.56973401,1,"fitness, equipment, uttar, pradesh, 18, 25, male, tiktok"
112,113,Brand78,Books,18-28,Female,Haryana,Sophia Wilson,@sophia.w,205073,550,42632,books,Positive,haryana,"18, 28",,facebook,20.78869476,1,"books, haryana, 18, 28, , facebook"
113,114,Brand22,Gaming Products,18-25,Female,Bihar,Olivia Clark,@mia.lee,410217,250,42721,"gaming, products",Neutral,bihar,"18, 25",female,facebook,10.41424417,1,"gaming, products, bihar, 18, 25, female, facebook"
114,115,Brand20,Pet Supplies,All,Male,Haryana,Liam Brown,@jane.doe,441198,940,16687,"pet, supplies",Neutral,haryana,,male,youtube,3.782202095,0,"pet, supplies, haryana, , male, youtube"
115,116,Brand83,Smartphones,18-30,Male,Goa,Emma Taylor,@isabella.m,923384,294,12368,smartphones,Neutral,goa,"18, 30",male,twitter,1.339421086,0,"smartphones, goa, 18, 30, male, twitter"
116,117,Brand5,Travel Services,40-50,All,Maharashtra,John Smith,@jane.doe,326420,887,33376,"travel, services",Neutral,maharashtra,"40, 50",,facebook,10.22486367,1,"travel, services, maharashtra, 40, 50, , facebook"
117,118,Brand12,Smartphones,40-50,Female,India,Noah Davis,@noah.d,803065,827,39300,smartphones,Negative,india,"40, 50",male,twitter,4.893750817,0,"smartphones, india, 40, 50, male, twitter"
118,119,Brand62,Food Products,All,Male,Maharashtra,John Smith,@mason.w,268214,260,48539,"food, products",Positive,maharashtra,,,youtube,18.09711648,1,"food, products, maharashtra, , , youtube"
119,120,Brand21,Gadgets,18-28,Female,West Bengal,Liam Brown,@noah.d,517718,501,46087,gadgets,Positive,"west, bengal","18, 28",male,youtube,8.901950483,1,"gadgets, west, bengal, 18, 28, male, youtube"
120,121,Brand32,Gaming Products,25-40,All,Rajasthan,Liam Brown,@olivia.c,396699,632,29246,"gaming, products",Positive,rajasthan,"25, 40",male,youtube,7.372340238,1,"gaming, products, rajasthan, 25, 40, male, youtube"
121,122,Brand30,Nutrition Products,40-50,Female,Maharashtra,Liam Brown,@isabella.m,538183,513,14579,"nutrition, products",Neutral,maharashtra,"40, 50",,tiktok,2.708929862,0,"nutrition, products, maharashtra, 40, 50, , tiktok"
122,123,Brand74,Eco-friendly Goods,40-50,All,West Bengal,Noah Davis,@noah.d,930284,767,46850,"eco, friendly, goods",Neutral,"west, bengal","40, 50",female,facebook,5.036096504,1,"eco, friendly, goods, west, bengal, 40, 50, female, facebook"
123,124,Brand54,Cosmetics,22-40,All,Delhi,Liam Brown,@isabella.m,463172,590,42966,cosmetics,Positive,delhi,"22, 40",,facebook,9.276467489,1,"cosmetics, delhi, 22, 40, , facebook"
124,125,Brand59,Books,22-40,Male,Uttar Pradesh,Mia Lee,@mason.w,699658,951,15396,books,Positive,"uttar, pradesh","22, 40",female,tiktok,2.200503675,0,"books, uttar, pradesh, 22, 40, female, tiktok"
