id,Influencer_name,Handle,Followers,Posts,Likes,Category,Sentiment,audience_location,audience_age,audience_gender,Platform,Engagement_rate
44,Jane Doe,@olivia.c,638336,973,28180,Clothing,Negative,Uttar Pradesh,25-40,All,Facebook,22.60819598
45,Mia Lee,@jane.doe,741445,605,39221,Books,Negative,Kerala,25-34,All,Instagram,22.44882152
46,Mason White,@jane.doe,230748,632,24716,Travel Services,Positive,Tamil Nadu,18-25,Female,YouTube,22.44882152
47,Jane Doe,@isabella.m,981575,190,5859,Cosmetics,Neutral,India,18-25,All,TikTok,22.33095379
48,Sophia Wilson,@jane.doe,612971,832,29874,Travel Services,Neutral,Kerala,25-40,Female,Instagram,22.33095379
49,Jane Doe,@isabella.m,338287,669,22289,Art Supplies,Neutral,Haryana,All,All,Instagram,21.38634038
50,Liam Brown,@jane.doe,997417,51,34817,Eco-friendly Goods,Negative,Delhi,All,All,Facebook,21.38634038
51,Liam Brown,@mia.lee,590813,948,21691,Fitness Equipment,Positive,Karnataka,15-24,Female,Instagram,21.14014252
52,Sophia Wilson,@john.smith,569337,264,9440,Eco-friendly Goods,Neutral,India,30-45,All,TikTok,21.14014252
53,Olivia Clark,@mia.lee,345067,409,25937,Gaming Products,Negative,Madhya Pradesh,30-45,All,Instagram,20.95426518
54,John Smith,@noah.d,329737,827,38797,Smartphones,Positive,Karnataka,40-50,Female,YouTube,20.95426518
55,Emma Taylor,@mia.lee,319946,895,40295,Fitness Equipment,Neutral,Madhya Pradesh,22-40,Male,TikTok,20.78869476
56,Jane Doe,@noah.d,520472,572,34721,Gaming Products,Positive,Maharashtra,25-40,Female,Facebook,20.78869476
57,Liam Brown,@mia.lee,194736,490,48830,Gadgets,Positive,Karnataka,18-28,All,Twitter,20.33162967
58,John Smith,@noah.d,743235,653,47632,Fashion Accessories,Positive,Madhya Pradesh,30-45,Female,Twitter,20.33162967
59,Emma Taylor,@olivia.c,964356,783,37434,Cosmetics,Neutral,Rajasthan,25-40,Female,Twitter,19.96491161
60,Sophia Wilson,@noah.d,759662,178,5319,Food Products,Negative,Tamil Nadu,All,All,YouTube,19.96491161
61,Liam Brown,@liam.brown,540439,173,35756,Clothing,Neutral,Gujarat,40-50,Male,YouTube,19.40931516
62,Liam Brown,@john.smith,252015,947,35105,Gadgets,Neutral,Haryana,15-24,All,Instagram,19.40931516
63,Jane Doe,@noah.d,445513,279,10138,Nutrition Products,Negative,Uttar Pradesh,15-24,Female,Facebook,18.97520661
64,Emma Taylor,@mia.lee,753283,371,29752,Eco-friendly Goods,Neutral,Uttar Pradesh,22-40,Female,Instagram,18.97520661
65,Sophia Wilson,@liam.brown,576648,480,30788,Art Supplies,Negative,Uttar Pradesh,22-40,Female,Twitter,18.85349793
66,Jane Doe,@liam.brown,948008,751,17571,Eco-friendly Goods,Neutral,Madhya Pradesh,18-30,All,YouTube,18.85349793
67,Mason White,@olivia.c,106719,578,36862,Pet Supplies,Neutral,West Bengal,All,Male,Instagram,18.59366869
68,Noah Davis,@mia.lee,134191,970,43159,Smartphones,Positive,Bihar,All,Male,Facebook,18.59366869
69,John Smith,@olivia.c,986721,226,29972,Fitness Equipment,Positive,West Bengal,18-28,Male,Instagram,18.58125352
70,Emma Taylor,@sophia.w,547880,695,14435,Cosmetics,Positive,Rajasthan,25-34,All,TikTok,18.58125352
71,Isabella Moore,@mason.w,769004,879,39621,Books,Positive,Delhi,18-30,Male,Facebook,18.33361328
72,Isabella Moore,@john.smith,359384,66,12052,Books,Negative,India,18-25,Female,YouTube,18.33361328
73,Jane Doe,@john.smith,321847,411,38800,Fashion Accessories,Negative,Delhi,18-30,Male,Instagram,18.09711648
74,Liam Brown,@liam.brown,701210,650,34680,Fashion Accessories,Neutral,Punjab,All,Male,TikTok,18.09711648
75,Mia Lee,@jane.doe,346981,933,44747,Smartphones,Negative,India,25-34,All,Facebook,17.81015959
76,Liam Brown,@isabella.m,728553,835,25543,Pet Supplies,Neutral,India,22-40,All,YouTube,17.81015959
77,Mason White,@mason.w,462640,994,29311,Clothing,Positive,Uttar Pradesh,25-34,Male,TikTok,17.54838139
78,Liam Brown,@mia.lee,149194,893,12415,Food Products,Neutral,West Bengal,All,All,TikTok,17.54838139
79,Liam Brown,@mia.lee,770619,371,11225,Cosmetics,Positive,India,18-30,Female,Facebook,16.7619705
80,Mason White,@isabella.m,628689,314,42584,Gaming Products,Positive,Tamil Nadu,25-40,All,Facebook,16.7619705
81,John Smith,@mason.w,967079,971,13017,Smartphones,Negative,Madhya Pradesh,25-34,Female,Twitter,16.73682826
82,Noah Davis,@sophia.w,304615,721,9526,Home Appliances,Negative,West Bengal,18-28,All,Instagram,16.73682826
83,Noah Davis,@mia.lee,671766,537,37528,Home Appliances,Negative,Rajasthan,18-30,All,TikTok,16.68668974
84,Jane Doe,@john.smith,974970,109,14332,Books,Positive,West Bengal,18-25,Female,Facebook,16.68668974
85,Isabella Moore,@noah.d,577618,406,48174,Art Supplies,Neutral,Gujarat,30-45,All,Twitter,16.60842622
86,Mason White,@emma.t,879146,679,8820,Books,Neutral,West Bengal,25-34,Male,YouTube,16.60842622
87,Liam Brown,@liam.brown,163271,219,13726,Fitness Equipment,Negative,Delhi,30-45,Male,Facebook,16.22546494
88,Emma Taylor,@olivia.c,250880,995,31060,Smartphones,Negative,Karnataka,40-50,All,YouTube,16.22546494
89,Emma Taylor,@sophia.w,398892,157,28967,Fashion Accessories,Negative,Goa,18-30,All,Twitter,16.21718532
90,Liam Brown,@liam.brown,164641,669,37643,Art Supplies,Negative,Karnataka,30-45,Male,TikTok,16.21718532
91,Mason White,@sophia.w,293101,399,47557,Pet Supplies,Negative,Rajasthan,18-28,Female,Facebook,15.71096411
92,Jane Doe,@john.smith,103360,845,49827,Eco-friendly Goods,Negative,Rajasthan,22-40,Female,Instagram,15.71096411
93,John Smith,@liam.brown,148689,509,13669,Eco-friendly Goods,Negative,Haryana,25-34,All,Twitter,15.578679
94,Isabella Moore,@isabella.m,170766,399,44329,Fashion Accessories,Positive,Delhi,18-28,Male,Facebook,15.578679
95,Liam Brown,@sophia.w,413139,132,46118,Cosmetics,Negative,Haryana,18-25,Male,Instagram,15.55373621
96,Emma Taylor,@mason.w,926247,548,43196,Pet Supplies,Negative,Gujarat,All,All,Twitter,15.55373621
97,Liam Brown,@mia.lee,227143,734,10428,Books,Positive,Kerala,22-40,Female,Facebook,15.44269105
98,John Smith,@john.smith,302621,186,43400,Art Supplies,Neutral,Kerala,25-40,All,YouTube,15.44269105
99,Mia Lee,@mason.w,803578,99,6915,Books,Negative,Delhi,22-40,All,Facebook,15.39510769
100,Isabella Moore,@isabella.m,996589,569,36532,Fitness Equipment,Positive,Gujarat,25-40,Female,Instagram,15.39510769
101,Liam Brown,@jane.doe,191768,573,43651,Art Supplies,Positive,Rajasthan,18-25,Male,Instagram,15.33467938
102,Isabella Moore,@olivia.c,664580,548,29148,Eco-friendly Goods,Positive,Madhya Pradesh,All,Female,TikTok,15.33467938
103,John Smith,@mason.w,259094,297,8238,Food Products,Negative,West Bengal,25-34,Male,Facebook,15.25986108
104,Liam Brown,@jane.doe,803442,71,25990,Pet Supplies,Positive,Haryana,30-45,All,YouTube,15.25986108
105,John Smith,@mia.lee,303539,427,20901,Fitness Equipment,Neutral,Haryana,All,All,YouTube,14.8172738
106,John Smith,@emma.t,931113,606,29684,Fitness Equipment,Positive,India,30-45,Male,Instagram,14.8172738
107,Isabella Moore,@john.smith,719823,522,41549,Gaming Products,Neutral,India,15-24,Male,YouTube,14.57948085
108,John Smith,@jane.doe,971613,572,22208,Eco-friendly Goods,Negative,Goa,18-30,Female,TikTok,14.57948085
109,Olivia Clark,@olivia.c,354942,123,33066,Clothing,Positive,Goa,22-40,Female,YouTube,14.43032719
110,John Smith,@john.smith,949199,883,25661,Food Products,Neutral,Kerala,18-28,Male,Facebook,14.43032719
111,John Smith,@jane.doe,584514,81,24689,Art Supplies,Neutral,Bihar,30-45,All,Instagram,14.34137089
112,Noah Davis,@mason.w,122071,821,15344,Fitness Equipment,Neutral,Uttar Pradesh,18-25,Male,TikTok,14.34137089
113,Sophia Wilson,@sophia.w,205073,550,42632,Books,Positive,Haryana,18-28,All,Facebook,14.1220194
114,Olivia Clark,@mia.lee,410217,250,42721,Gaming Products,Neutral,Bihar,18-25,Female,Facebook,14.1220194
115,Liam Brown,@jane.doe,441198,940,16687,Pet Supplies,Neutral,Haryana,All,Male,YouTube,14.05833464
116,Emma Taylor,@isabella.m,923384,294,12368,Smartphones,Neutral,Goa,18-30,Male,Twitter,14.05833464
117,John Smith,@jane.doe,326420,887,33376,Travel Services,Neutral,Maharashtra,40-50,All,Facebook,14.02754379
118,Noah Davis,@noah.d,803065,827,39300,Smartphones,Negative,India,40-50,Male,Twitter,14.02754379
119,John Smith,@mason.w,268214,260,48539,Food Products,Positive,Maharashtra,All,All,YouTube,13.98881013
120,Liam Brown,@noah.d,517718,501,46087,Gadgets,Positive,West Bengal,18-28,Male,YouTube,13.98881013
121,Liam Brown,@olivia.c,396699,632,29246,Gaming Products,Positive,Rajasthan,25-40,Male,YouTube,13.96886979
122,Liam Brown,@isabella.m,538183,513,14579,Nutrition Products,Neutral,Maharashtra,40-50,All,TikTok,13.96886979
123,Noah Davis,@noah.d,930284,767,46850,Eco-friendly Goods,Neutral,West Bengal,40-50,Female,Facebook,13.92972641
124,Liam Brown,@isabella.m,463172,590,42966,Cosmetics,Positive,Delhi,22-40,All,Facebook,13.92972641
125,Mia Lee,@mason.w,699658,951,15396,Books,Positive,Uttar Pradesh,22-40,Female,TikTok,13.90066504
126,Isabella Moore,@john.smith,194994,406,37847,Nutrition Products,Negative,Karnataka,25-34,Male,Twitter,13.90066504
127,Emma Taylor,@john.smith,420236,94,36731,Fitness Equipment,Negative,India,22-40,Female,Instagram,13.65995143
128,Noah Davis,@john.smith,223769,259,47856,Pet Supplies,Neutral,Kerala,18-25,Female,Facebook,13.65995143
129,Emma Taylor,@john.smith,656987,911,32191,Cosmetics,Negative,Karnataka,22-40,Male,Instagram,13.61613304
130,Mason White,@emma.t,866294,916,19657,Cosmetics,Negative,Goa,22-40,Female,Twitter,13.61613304
131,Emma Taylor,@liam.brown,864140,543,29948,Food Products,Positive,Madhya Pradesh,30-45,All,Facebook,13.60840444
132,Olivia Clark,@emma.t,917580,232,48466,Eco-friendly Goods,Neutral,Maharashtra,All,All,YouTube,13.60840444
133,Isabella Moore,@olivia.c,586814,623,18040,Fashion Accessories,Neutral,Delhi,All,Female,Facebook,13.3713294
134,Olivia Clark,@isabella.m,208616,189,41650,Cosmetics,Negative,Delhi,All,Female,Twitter,13.3713294
135,Liam Brown,@olivia.c,520363,744,10408,Pet Supplies,Positive,Tamil Nadu,25-34,Female,TikTok,12.96693672
136,John Smith,@sophia.w,346746,68,48200,Cosmetics,Negative,Delhi,25-40,All,Twitter,12.96693672
137,John Smith,@mia.lee,816903,610,24956,Gaming Products,Negative,Uttar Pradesh,25-34,Female,Instagram,12.89609518
138,Isabella Moore,@mason.w,248701,166,43643,Travel Services,Neutral,India,30-45,Male,YouTube,12.89609518
139,Noah Davis,@sophia.w,532252,676,40628,Food Products,Neutral,Maharashtra,18-28,Male,Instagram,12.59431279
140,Sophia Wilson,@noah.d,470874,401,44356,Pet Supplies,Positive,Delhi,25-34,Female,Twitter,12.59431279
141,Sophia Wilson,@john.smith,556836,85,33536,Clothing,Neutral,Uttar Pradesh,18-30,All,Twitter,12.57950089
142,John Smith,@emma.t,310014,916,38902,Home Appliances,Neutral,Rajasthan,18-30,All,YouTube,12.57950089
143,Liam Brown,@isabella.m,603109,625,48132,Cosmetics,Negative,Kerala,40-50,All,Instagram,12.56973401
144,Noah Davis,@noah.d,340263,684,40648,Fitness Equipment,Neutral,Karnataka,30-45,Female,TikTok,12.56973401
145,Sophia Wilson,@olivia.c,977050,974,47448,Travel Services,Neutral,Haryana,18-25,Female,Instagram,12.54846555
146,Olivia Clark,@john.smith,374760,545,27702,Fashion Accessories,Neutral,Haryana,18-25,Female,Twitter,12.54846555
147,Mia Lee,@olivia.c,341917,289,9902,Fashion Accessories,Negative,Punjab,22-40,Male,Twitter,12.38042092
148,Isabella Moore,@jane.doe,739610,273,40890,Travel Services,Negative,Punjab,40-50,Female,Facebook,12.38042092
149,Mia Lee,@jane.doe,738185,54,38307,Gadgets,Positive,Maharashtra,22-40,Male,TikTok,12.27309791
150,Mia Lee,@mia.lee,526459,941,46195,Eco-friendly Goods,Positive,Tamil Nadu,18-30,Male,Twitter,12.27309791
151,John Smith,@sophia.w,990005,212,12087,Books,Neutral,Gujarat,18-28,Female,YouTube,12.23212294
152,Mia Lee,@sophia.w,531250,965,6593,Travel Services,Neutral,Uttar Pradesh,18-28,All,YouTube,12.23212294
153,Jane Doe,@mia.lee,451617,451,28116,Fashion Accessories,Positive,West Bengal,18-30,Female,YouTube,12.08921779
154,Jane Doe,@mason.w,585098,60,29161,Gaming Products,Neutral,Maharashtra,18-30,Female,YouTube,12.08921779
155,Sophia Wilson,@jane.doe,419592,266,25549,Cosmetics,Neutral,Maharashtra,18-28,All,YouTube,12.06667157
156,Mia Lee,@emma.t,219477,370,49270,Travel Services,Negative,Rajasthan,40-50,All,Facebook,12.06667157
157,Jane Doe,@mia.lee,809967,133,22413,Fitness Equipment,Negative,Bihar,18-28,All,Facebook,12.06105267
158,Isabella Moore,@noah.d,263274,87,17265,Art Supplies,Neutral,Bihar,40-50,Female,YouTube,12.06105267
159,Olivia Clark,@noah.d,985901,61,38872,Pet Supplies,Positive,Haryana,All,All,Twitter,12.05541764
160,Emma Taylor,@john.smith,273889,171,42000,Gaming Products,Negative,West Bengal,All,Male,YouTube,12.05541764
161,Mia Lee,@liam.brown,419896,915,34371,Travel Services,Positive,Goa,40-50,All,Instagram,11.94605349
162,Mia Lee,@liam.brown,761467,761,16033,Fitness Equipment,Positive,Rajasthan,18-25,All,Instagram,11.94605349
163,Mia Lee,@isabella.m,609410,533,17527,Nutrition Products,Negative,Delhi,18-30,Female,YouTube,11.87866348
164,Mia Lee,@mia.lee,840086,709,11630,Gadgets,Positive,Madhya Pradesh,30-45,Female,Facebook,11.87866348
165,Isabella Moore,@john.smith,275737,955,23854,Fashion Accessories,Positive,Tamil Nadu,25-34,Female,Twitter,11.81519725
166,Sophia Wilson,@emma.t,288676,273,36314,Smartphones,Positive,Punjab,25-40,Female,YouTube,11.81519725
167,Mason White,@mia.lee,451849,881,5385,Home Appliances,Neutral,Madhya Pradesh,18-25,Male,YouTube,11.76604385
168,Jane Doe,@liam.brown,624631,201,19367,Smartphones,Neutral,Haryana,25-40,Female,TikTok,11.76604385
169,Noah Davis,@sophia.w,514682,845,44576,Fashion Accessories,Neutral,India,30-45,Female,TikTok,11.70393163
170,Jane Doe,@mia.lee,953931,654,38093,Books,Negative,Rajasthan,25-40,Female,TikTok,11.70393163
171,Jane Doe,@olivia.c,588875,319,6160,Pet Supplies,Negative,West Bengal,25-40,Female,YouTube,11.70057584
172,Jane Doe,@isabella.m,507610,855,13049,Pet Supplies,Neutral,Delhi,40-50,All,Instagram,11.70057584
173,Jane Doe,@isabella.m,533332,665,43124,Gaming Products,Positive,Haryana,18-30,Female,Facebook,11.67652307
174,John Smith,@jane.doe,909840,242,11766,Clothing,Neutral,Tamil Nadu,25-40,All,Instagram,11.67652307
175,Liam Brown,@jane.doe,387589,429,42871,Gaming Products,Neutral,Punjab,15-24,All,TikTok,11.44767549
176,Sophia Wilson,@liam.brown,500922,842,49984,Gaming Products,Neutral,Rajasthan,15-24,Female,Twitter,11.44767549
177,Mia Lee,@sophia.w,750787,700,26258,Travel Services,Positive,Uttar Pradesh,All,Male,Instagram,11.1896791
178,Sophia Wilson,@mia.lee,824940,135,48299,Nutrition Products,Positive,Punjab,18-30,All,Facebook,11.1896791
179,Noah Davis,@emma.t,854415,962,47855,Eco-friendly Goods,Neutral,India,18-28,Male,TikTok,11.16282898
180,John Smith,@liam.brown,938879,735,33526,Food Products,Positive,Goa,40-50,Female,Facebook,11.16282898
181,Isabella Moore,@noah.d,886367,567,41164,Fashion Accessories,Positive,Delhi,25-40,Male,Facebook,11.08916002
182,Mason White,@liam.brown,228917,898,38371,Home Appliances,Neutral,Madhya Pradesh,15-24,All,YouTube,11.08916002
183,Isabella Moore,@isabella.m,419145,735,46320,Nutrition Products,Neutral,Kerala,25-40,Female,TikTok,11.06094342
184,Mia Lee,@noah.d,777431,823,47241,Gadgets,Neutral,West Bengal,25-34,Male,TikTok,11.06094342
185,Mason White,@emma.t,992036,139,42327,Art Supplies,Neutral,Gujarat,25-34,Female,TikTok,11.05106825
186,Olivia Clark,@mason.w,681111,696,40800,Gaming Products,Positive,Uttar Pradesh,18-25,Female,YouTube,11.05106825
187,Sophia Wilson,@sophia.w,826187,613,35617,Gaming Products,Negative,Karnataka,18-25,All,YouTube,10.7112521
188,Sophia Wilson,@emma.t,939354,657,45083,Food Products,Neutral,Delhi,All,All,TikTok,10.7112521
189,Liam Brown,@jane.doe,893443,776,45049,Home Appliances,Neutral,Maharashtra,22-40,All,Instagram,10.68604467
190,Noah Davis,@isabella.m,846757,610,29763,Art Supplies,Neutral,West Bengal,25-40,Female,Twitter,10.68604467
191,Noah Davis,@liam.brown,436706,607,48866,Food Products,Positive,Bihar,40-50,Male,YouTube,10.67985183
192,Sophia Wilson,@liam.brown,633497,257,28611,Books,Negative,Maharashtra,15-24,All,Instagram,10.67985183
193,Sophia Wilson,@mason.w,315204,355,21346,Gaming Products,Neutral,Haryana,40-50,Male,TikTok,10.41424417
194,Olivia Clark,@noah.d,924261,985,49562,Art Supplies,Neutral,Delhi,30-45,Female,Twitter,10.41424417
195,Liam Brown,@jane.doe,345548,451,14205,Smartphones,Positive,Kerala,18-28,All,YouTube,10.27183615
196,Olivia Clark,@liam.brown,779710,741,5388,Smartphones,Positive,West Bengal,18-28,Male,TikTok,10.27183615
197,Olivia Clark,@mason.w,290740,902,29172,Art Supplies,Positive,India,30-45,All,TikTok,10.22486367
198,Emma Taylor,@noah.d,138924,791,11409,Gaming Products,Negative,Haryana,25-34,Male,TikTok,10.22486367
199,Emma Taylor,@olivia.c,788120,888,39152,Cosmetics,Negative,Gujarat,All,All,YouTube,10.19092081
200,Olivia Clark,@olivia.c,216394,110,45746,Fashion Accessories,Positive,Maharashtra,30-45,All,Instagram,10.19092081
201,Mason White,@sophia.w,426210,514,40567,Eco-friendly Goods,Neutral,Goa,25-34,Female,Instagram,10.08020144
202,Noah Davis,@isabella.m,574655,721,9808,Books,Positive,Goa,15-24,All,Facebook,10.08020144
203,Emma Taylor,@mia.lee,273654,319,45801,Gaming Products,Negative,Gujarat,18-28,Female,Facebook,10.06325565
204,Sophia Wilson,@isabella.m,788474,340,8126,Cosmetics,Negative,Tamil Nadu,15-24,All,TikTok,10.06325565
205,Liam Brown,@sophia.w,408253,933,48495,Art Supplies,Positive,Rajasthan,18-30,All,YouTube,10.03370709
206,Olivia Clark,@sophia.w,578181,530,45544,Fitness Equipment,Positive,West Bengal,15-24,Male,Instagram,10.03370709
207,Mason White,@liam.brown,289008,483,21971,Fitness Equipment,Negative,Punjab,18-28,Male,YouTube,9.978399831
208,Liam Brown,@john.smith,954293,395,27226,Home Appliances,Negative,Rajasthan,18-30,All,Facebook,9.978399831
209,Olivia Clark,@liam.brown,241853,186,23789,Smartphones,Neutral,Karnataka,18-28,Male,Instagram,9.836140135
210,Emma Taylor,@mason.w,365982,809,39109,Cosmetics,Negative,Gujarat,40-50,All,TikTok,9.836140135
211,Sophia Wilson,@liam.brown,319310,931,32799,Gaming Products,Positive,India,25-40,All,Instagram,9.727839737
212,Olivia Clark,@noah.d,788593,467,43124,Fitness Equipment,Neutral,Karnataka,25-40,All,Facebook,9.727839737
213,Mia Lee,@mason.w,986579,851,40628,Travel Services,Negative,Delhi,18-30,All,Twitter,9.710875848
214,Isabella Moore,@sophia.w,561010,676,12600,Fashion Accessories,Neutral,Kerala,15-24,Female,Facebook,9.710875848
215,Olivia Clark,@jane.doe,868842,130,37776,Books,Neutral,Bihar,15-24,Male,TikTok,9.518077943
216,Sophia Wilson,@olivia.c,412419,152,18422,Art Supplies,Neutral,Maharashtra,18-28,Female,Instagram,9.518077943
217,John Smith,@john.smith,926561,768,11047,Fashion Accessories,Neutral,Maharashtra,30-45,Male,Twitter,9.458261541
218,Isabella Moore,@liam.brown,916647,561,9547,Fitness Equipment,Positive,Rajasthan,18-28,All,TikTok,9.458261541
219,Liam Brown,@mason.w,351659,554,19020,Gadgets,Negative,Bihar,18-25,All,TikTok,9.43140823
220,Liam Brown,@mia.lee,808891,252,19591,Nutrition Products,Positive,Maharashtra,25-34,Male,Facebook,9.43140823
221,Jane Doe,@mason.w,797091,835,11918,Gadgets,Negative,Gujarat,25-40,Male,TikTok,9.419929748
222,Emma Taylor,@emma.t,340368,968,29492,Gadgets,Neutral,Karnataka,22-40,All,Twitter,9.419929748
223,John Smith,@jane.doe,153175,778,41920,Gadgets,Positive,Bihar,30-45,Female,TikTok,9.410231177
224,Mason White,@sophia.w,496504,892,11975,Gaming Products,Negative,Bihar,18-28,All,Twitter,9.410231177
225,Isabella Moore,@olivia.c,947400,60,32926,Books,Negative,Rajasthan,25-34,All,YouTube,9.31588823
226,Mason White,@isabella.m,289840,645,39465,Home Appliances,Neutral,Haryana,30-45,Male,TikTok,9.31588823
227,Liam Brown,@olivia.c,821895,774,46598,Food Products,Neutral,Tamil Nadu,25-34,Female,Facebook,9.276467489
228,Emma Taylor,@mia.lee,223076,929,37224,Cosmetics,Neutral,Delhi,18-25,Female,YouTube,9.276467489
229,Jane Doe,@liam.brown,738362,574,31474,Pet Supplies,Negative,Haryana,30-45,Male,Twitter,9.269301875
230,Isabella Moore,@olivia.c,973454,965,25421,Gaming Products,Neutral,Haryana,15-24,Female,Instagram,9.269301875
231,Emma Taylor,@jane.doe,811083,226,25790,Fitness Equipment,Negative,Goa,40-50,All,TikTok,9.193013606
232,John Smith,@isabella.m,275901,120,22513,Books,Positive,Goa,15-24,All,Twitter,9.193013606
233,Emma Taylor,@mia.lee,885122,312,20669,Fashion Accessories,Neutral,Bihar,15-24,All,Instagram,9.175220104
234,John Smith,@john.smith,100729,342,11170,Fitness Equipment,Neutral,Haryana,18-25,Female,Instagram,9.175220104
235,Mason White,@isabella.m,434797,117,5969,Smartphones,Negative,Karnataka,All,Male,Twitter,9.006914105
236,John Smith,@liam.brown,995579,325,9472,Travel Services,Negative,Delhi,22-40,All,TikTok,9.006914105
237,Mia Lee,@noah.d,739827,508,44366,Clothing,Positive,Rajasthan,30-45,Female,Twitter,9.006213142
